CY_Qtr,CMS_Region_Number,CMS_Region_Name,Facility_Count,Census,Total_Nurse_HPRD,Nurse_Care_HPRD,Total_RN_HPRD,Direct_Care_RN_HPRD,Contract_Percentage
2017Q1,1,Boston,845,78935.2222222222,3.8238021837878318,3.543899505501698,0.7523577983071914,0.5184934735514494,2.6941449880783757
2017Q2,1,Boston,840,77078.0,3.8452227228647207,3.55919380367939,0.7474131214020674,0.5078095087921497,4.071297038630492
2017Q3,1,Boston,849,78553.22826086958,3.818077584335297,3.551728467971801,0.7261152289841682,0.5055121112145363,2.758384056418922
2017Q4,1,Boston,830,76587.38043478261,3.813942700288771,3.541036820829406,0.7374126782437622,0.5138630243176344,2.8923925616374038
2018Q1,1,Boston,866,81066.24444444447,3.7934449905303773,3.5111463615079135,0.7421323370379395,0.5107395625141687,2.9248174931013153
2018Q2,1,Boston,844,78511.83516483517,3.826215129321161,3.5444896653783697,0.7356818087340935,0.5052251140970277,3.169815050982506
2018Q3,1,Boston,874,81232.85869565218,3.7449150904478445,3.4815989005305865,0.7089100616946211,0.49371632650794683,3.2357541863623065
2018Q4,1,Boston,868,81285.27173913042,3.7685732361001802,3.493574472352805,0.7196919049857285,0.4976413316225934,3.3683018411735848
2019Q1,1,Boston,868,81631.51111111112,3.7471780777466654,3.4678273599682905,0.7106955116461019,0.49012466318834375,3.2532538400389854
2019Q2,1,Boston,867,81192.36263736263,3.756108444130442,3.4799777641078946,0.699311844547713,0.48076687909123694,3.4477776480551183
2019Q3,1,Boston,853,80670.73913043477,3.724409520018843,3.457663331675136,0.6891562629518704,0.4760557650610884,3.922155227381125
2019Q4,1,Boston,860,81093.01086956522,3.7233548286006006,3.4577641696189727,0.6877708380218795,0.47673167566443087,3.7434160664483795
2020Q1,1,Boston,661,61495.75824175824,3.802124408116061,3.5337009771423524,0.7242097980848851,0.5101777322620661,3.739745882159531
2020Q2,1,Boston,838,67480.24175824175,4.006159619861052,3.7043771396169376,0.7785643498088656,0.534657988614331,4.798881269734709
2020Q3,1,Boston,839,66371.34782608696,3.9699378693399,3.6659082592606413,0.775769784434221,0.5319197257066793,4.97385239460977
2020Q4,1,Boston,843,66502.55434782608,3.9913102438856973,3.6759605229285905,0.7898938975047545,0.5387198644707174,5.239780304388014
2021Q1,1,Boston,848,65946.85555555555,4.000252063235431,3.6754605737245987,0.7859942660900183,0.5301849704905484,5.3942312033582
2021Q2,1,Boston,837,67677.46153846153,3.814282968553655,3.5027786646064745,0.7336612688919276,0.4907081618062664,6.417991576465368
2021Q3,1,Boston,832,69193.21739130435,3.6434308857239075,3.350630047302952,0.6965513772397898,0.4692752698178511,7.160736523627918
2021Q4,1,Boston,828,69416.82687772567,3.5841925158804684,3.299871200578163,0.6753286149578653,0.4569131834212533,8.16206502488228
2022Q1,1,Boston,825,69115.88888888889,3.667271920108417,3.3720128158342755,0.691128401091243,0.4614236748906427,9.579325783753102
2022Q2,1,Boston,819,69715.23076923078,3.6760955809867655,3.385880739952139,0.6847688587449792,0.45869973074135495,10.812611372096775
2022Q3,1,Boston,817,70704.64130434782,3.6641149795375023,3.381118969036379,0.6739428489028225,0.45385742464788076,12.05399148128714
2022Q4,1,Boston,821,71608.36956521739,3.6760950444522367,3.4035233129476916,0.6673495963096369,0.4546688160389315,12.856887036247716
2023Q1,1,Boston,815,72362.67777777779,3.7139157263543323,3.4298196292410403,0.6790455269989549,0.46036216029718213,13.014961269609104
2023Q2,1,Boston,811,71810.75824175825,3.76288163685413,3.480582677700349,0.6787272102086391,0.4604986228302443,13.07598302971982
2023Q3,1,Boston,807,71927.21739130434,3.7186883706718006,3.4433258982812327,0.6625691323838225,0.4518282989567957,12.358554595220724
2023Q4,1,Boston,805,72218.07608695651,3.7241802342933825,3.4482746250298937,0.6644279772783614,0.455727486328772,11.238106820462228
2024Q1,1,Boston,799,72723.41758241759,3.7396977499123194,3.4562886435147693,0.6631668835302683,0.45220452743504636,10.308060899730048
2024Q2,1,Boston,796,72145.81318681319,3.7502395103688824,3.468373527421344,0.6585340463581919,0.45046775082635615,9.409088002520352
2024Q3,1,Boston,794,72183.82608695653,3.7712256223241636,3.4909868629489433,0.6547579082511558,0.44875952881170544,9.151082157722259
2024Q4,1,Boston,791,72274.83695652174,3.796001117413375,3.510630837751729,0.6573760276480852,0.4490408081470412,8.381438598749362
2025Q1,1,Boston,783,72492.85555555555,3.8161603082112143,3.5210303314181006,0.6685822909445329,0.45396427571330017,7.657233736576371
2025Q2,1,Boston,783,72035.42857142858,3.8434065990727393,3.5475805769566398,0.6714264775696454,0.4562901023672114,7.568653778439906
2025Q3,1,Boston,786,72722.3043478261,3.832099337981947,3.5505448869523306,0.6670797458826403,0.4623364056718441,7.435250205356585
2025Q4,1,Boston,779,72702.25,3.82853311160306,3.5431537747695447,0.6703175922879007,0.4616629860298266,7.175057661512156
2017Q1,2,New York,901,136877.4777777778,3.5775343959273225,3.3618274388619924,0.6275873183584376,0.4379149649893704,6.343845754170731
2017Q2,2,New York,876,133062.06593406593,3.60039621929715,3.3874924797549664,0.6254413457224952,0.43675472439202134,6.513016487404949
2017Q3,2,New York,902,135794.33695652173,3.57591237996654,3.3709162224940696,0.6187964071947359,0.43640489426185486,7.16263597688939
2017Q4,2,New York,885,133190.98913043478,3.625799866830659,3.4155253117642217,0.6239362696800796,0.43739679885969585,6.511840586017659
2018Q1,2,New York,926,140574.36666666667,3.5956846589622433,3.382162661550512,0.6402659920692036,0.4518576043538203,7.050478486513994
2018Q2,2,New York,950,142612.7142857143,3.639616459916765,3.4265464548303703,0.6456090570966919,0.45778538849201733,7.25229989920669
2018Q3,2,New York,963,144641.84782608697,3.5957026959393694,3.392753091030694,0.6310475116573547,0.4523777027966378,7.847740120714386
2018Q4,2,New York,954,143525.79347826086,3.6146696158916476,3.404908539769364,0.6381949570797498,0.45477817386709696,7.849706131974892
2019Q1,2,New York,967,145725.67777777778,3.6082514627369475,3.395465057595659,0.643930565580946,0.45784702551087053,7.566288542680449
2019Q2,2,New York,966,144784.24175824175,3.6192247911746827,3.406421650829283,0.6498392849200543,0.46492218584288303,7.708508851960379
2019Q3,2,New York,977,146534.14130434784,3.587973180460022,3.3819039189635363,0.6410302214033664,0.4600982483604319,8.179403455871526
2019Q4,2,New York,965,145125.38043478262,3.5992621986910125,3.3911286582404174,0.6465926801674863,0.4643758638987949,8.169729136104314
2020Q1,2,New York,691,102394.34065934065,3.6019706532115388,3.373585383378312,0.6699223622098793,0.4690621734438665,7.138281666201765
2020Q2,2,New York,944,121646.94505494506,3.773073689560276,3.529563237045558,0.7116201442979646,0.5000783523061514,8.331365454897176
2020Q3,2,New York,957,121472.17391304347,3.7526944281388497,3.5143789989476923,0.716590288167625,0.5086576716442485,7.321512670807506
2020Q4,2,New York,966,122166.31521739131,3.7315244008501964,3.4910506721014043,0.7164043822654099,0.5092498101082976,7.8775434191302995
2021Q1,2,New York,962,122067.92222222222,3.7103719140700617,3.4697487482606455,0.7164031691645623,0.5103415903331777,8.270723297405675
2021Q2,2,New York,953,124372.53846153847,3.5777349360097794,3.3408259429023124,0.6896595534808094,0.48785034786927367,8.873403676140779
2021Q3,2,New York,952,127581.48913043478,3.4416696063905277,3.2200771561432555,0.6562033924268524,0.4659365195151912,9.819927687019128
2021Q4,2,New York,951,128277.80739655555,3.453556574389882,3.2416792957778986,0.6440803122388804,0.4580982552263452,11.114380368789002
2022Q1,2,New York,953,129923.92222222222,3.4789150445564174,3.264037215625249,0.6372317919726185,0.449096752603853,12.604619399234979
2022Q2,2,New York,949,131347.8791208791,3.5007520202411926,3.289552942914702,0.6361810290381463,0.45215921363760353,14.0038452293582
2022Q3,2,New York,948,132114.90217391303,3.468100861807461,3.2601506988605347,0.6200068879436386,0.4405829831427206,15.218851486828248
2022Q4,2,New York,951,134022.7717391304,3.455707230155161,3.2537670958739575,0.6176928482708363,0.44442613053670715,15.617865891963955
2023Q1,2,New York,952,135711.86666666667,3.481343996119885,3.2687325041910698,0.6301189628222145,0.45004235443915996,15.827971055393238
2023Q2,2,New York,951,135708.06593406593,3.5279155660089367,3.3228235666509076,0.634482439438115,0.4615601621904291,15.989361673969023
2023Q3,2,New York,944,135178.67391304352,3.537949999027052,3.349164460917186,0.6323649078618818,0.47216353750165474,15.514768849802435
2023Q4,2,New York,954,137064.92391304346,3.571714791934925,3.375144520927998,0.6376614192591844,0.4702257427513918,13.972601389061708
2024Q1,2,New York,951,138855.61538461538,3.5736521349831243,3.3720401957571386,0.6432269498691066,0.4719300489297876,13.456081659096112
2024Q2,2,New York,948,138157.16483516485,3.606286268019971,3.402808776785667,0.6515076395714962,0.4800987782507932,12.719988703774135
2024Q3,2,New York,949,138731.94565217392,3.585203610121146,3.3903696673730916,0.6330957447733702,0.47016883434656065,12.97900041019669
2024Q4,2,New York,949,138891.1413043478,3.623604776496453,3.426172508419756,0.6388055080671955,0.4744800686493214,12.323372260532178
2025Q1,2,New York,946,140610.36666666664,3.584712136366112,3.389377629261251,0.6398580395486881,0.47500448639277665,11.600996198598
2025Q2,2,New York,947,139920.95604395607,3.647961302641277,3.4506468887810824,0.6525455125488039,0.4865652467676613,11.284866763693493
2025Q3,2,New York,942,139670.23913043478,3.610666282895223,3.4153926251134057,0.6468110912178079,0.48243712636176783,10.913186860836257
2025Q4,2,New York,942,139320.28260869565,3.625553925401481,3.4306178896827197,0.6536629486670764,0.49090300766157674,10.42969294887177
2017Q1,3,Philadelphia,1307,138535.05555555556,3.730372461683384,3.4574151331933236,0.6784808249496413,0.4510775379356448,2.0734078606325443
2017Q2,3,Philadelphia,1266,132326.1208791209,3.758650055137669,3.484181376896259,0.6694588220560974,0.44282783120656677,2.3833138466512183
2017Q3,3,Philadelphia,1330,139786.59782608695,3.721273291811969,3.451381068674013,0.6600181620011314,0.43852608560859907,2.2479622696413313
2017Q4,3,Philadelphia,1322,138734.78260869565,3.730184169043217,3.464441068350623,0.6665878506064119,0.44612869723275583,2.2785183262462794
2018Q1,3,Philadelphia,1334,139931.1,3.710876929987527,3.43594777000967,0.6802011466119162,0.45090763875142054,2.711006173682852
2018Q2,3,Philadelphia,1318,137208.37362637362,3.7604101910609677,3.4833086789788408,0.6819758701812487,0.4532538526066316,3.1508096281998315
2018Q3,3,Philadelphia,1361,140646.41304347827,3.7187706729873793,3.453168761162551,0.6697188215591517,0.4486316000578078,3.5674017711713635
2018Q4,3,Philadelphia,1351,139989.29347826086,3.733334599734528,3.464677372454336,0.6762220309550074,0.45151494660111813,3.9798170239640744
2019Q1,3,Philadelphia,1375,143160.38888888888,3.7077316583924715,3.4289054413328923,0.6847926059621552,0.45297994052513724,4.2411081210221715
2019Q2,3,Philadelphia,1373,141962.64835164836,3.7091049982889017,3.436625344338757,0.6800753432976221,0.4533756062285691,4.417047900375292
2019Q3,3,Philadelphia,1383,142548.96739130435,3.708246964715787,3.441387459915567,0.6765783214844939,0.4543502236645608,4.758637575377143
2019Q4,3,Philadelphia,1374,142140.8804347826,3.7138224821500967,3.4428705507342277,0.6817146078511667,0.456426620833388,4.792180820622737
2020Q1,3,Philadelphia,1048,103365.45054945054,3.7760436671083575,3.4788091691316936,0.7148457558458966,0.4685805935964321,4.889450754886052
2020Q2,3,Philadelphia,1359,126227.67032967032,3.847318496022973,3.54628464544877,0.74069641998698,0.49020384412675566,5.447151560187569
2020Q3,3,Philadelphia,1361,123361.60869565218,3.7912072056100863,3.490782624923475,0.7487032132821259,0.49936799448211133,5.653295748970826
2020Q4,3,Philadelphia,1353,119871.1195652174,3.8443277821116397,3.5423912484631352,0.7543187833164658,0.5029917276190562,6.9989035318636335
2021Q1,3,Philadelphia,1368,117793.47777777779,3.871166102103561,3.5523789951396103,0.7673960131540956,0.5066395932315817,7.318093016379952
2021Q2,3,Philadelphia,1368,121564.94505494504,3.6628567681002604,3.3650039277155694,0.7232554099875165,0.47629848559219934,7.973255056866413
2021Q3,3,Philadelphia,1344,122874.52173913043,3.5340426527379996,3.2548699380138246,0.6930244630966761,0.4602024882931122,9.968123153855437
2021Q4,3,Philadelphia,1358,124283.20985729404,3.5695420374895295,3.3010314905605154,0.6787346748140141,0.45566187842115025,11.746275712078173
2022Q1,3,Philadelphia,1365,125277.33333333333,3.5524563306654753,3.2694649187225506,0.6724558774487892,0.440613666035179,12.712920334146851
2022Q2,3,Philadelphia,1355,126025.98901098901,3.555681965999514,3.278981426733453,0.6565162409811683,0.43103075634582605,13.05322442482224
2022Q3,3,Philadelphia,1356,127086.41304347824,3.520586944008485,3.250774307964026,0.6481200492646647,0.42803534825243,14.271783674759723
2022Q4,3,Philadelphia,1350,128506.95652173912,3.5273590196436664,3.26593233152663,0.6440214816656855,0.4332935215823202,15.158833338386893
2023Q1,3,Philadelphia,1352,130241.95555555554,3.554250138374937,3.2828313405750116,0.6637722679566646,0.44743649341191993,15.13441948984724
2023Q2,3,Philadelphia,1352,129886.4065934066,3.577487451207368,3.3134156853710635,0.6519574221363162,0.44245784841750574,15.269892754669579
2023Q3,3,Philadelphia,1350,130867.54347826088,3.594380223814089,3.3348053167598777,0.6458491144464522,0.4391362574205879,14.573861377969383
2023Q4,3,Philadelphia,1348,131490.25,3.625754565369907,3.357578478913505,0.6533999768374295,0.43919660599732013,13.485836802299378
2024Q1,3,Philadelphia,1354,133382.5054945055,3.6102118743351346,3.3331901106031645,0.6613360287129274,0.44115013600478786,12.28842202800369
2024Q2,3,Philadelphia,1346,132098.75824175822,3.639876583345445,3.359492367806405,0.6615997405204749,0.4418421615463021,11.15484827076348
