REGION,REGION_NUMBER,REGION_NAME,CY_Qtr,facility_count,avg_days_reported,total_resident_days,avg_daily_census,MDScensus,Total_Nurse_Hours,Total_RN_Hours,Total_Nurse_Care_Hours,Total_RN_Care_Hours,Total_Nurse_Assistant_Hours,Total_Contract_Hours,Total_Nurse_HPRD,RN_HPRD,Nurse_Care_HPRD,RN_Care_HPRD,Nurse_Assistant_HPRD,Contract_Percentage,Direct_Care_Percentage,Total_RN_Percentage,Nurse_Aide_Percentage,LPN_HPRD,LPN_Care_HPRD,Total_Nurse_HPRD_Median,RN_HPRD_Median,Nurse_Care_HPRD_Median,RN_Care_HPRD_Median,Nurse_Assistant_HPRD_Median,Contract_Percentage_Median
Region 1 - Boston,1,Boston,2025Q4,779.0,92.0,6688607.0,93.32766367137356,72702.25,25607553.370000012,4483490.939999999,23698763.14,3087882.2800000003,15484841.770000003,1837356.72,3.8285331116030608,0.6703175922879007,3.5431537747695447,0.4616629860298266,2.3151071321726637,7.175057661512155,92.54598749665708,17.50847054858641,60.46982133068964,0.8434466102809383,0.7666665733817597,3.748940745609917,0.6619620546043499,3.470152462432816,0.4502274504229156,2.2547449068431136,3.126009064911296
Region 2 - New York,2,New York,2025Q4,942.0,92.0,12817466.0,147.89838918120557,139320.28260869565,46470414.17000002,8378302.619999999,43971828.16000002,6292132.609999999,28124073.049999986,4846721.51,3.625553925401481,0.6536629486670765,3.43061788968272,0.49090300766157674,2.1941991537172783,10.42969294887177,94.62327578820458,18.029326335139046,60.52038388794067,0.7776918230171238,0.7455157283038629,3.5830724527444144,0.5695942187919134,3.34682001907784,0.4068283506104937,2.1502489759443506,3.477548203019312
Region 3 - Philadelphia,3,Philadelphia,2025Q4,1339.0,92.0,12328155.0,100.07594083839335,134001.68478260867,45613904.989999995,8093597.38,42118810.639999986,5354299.830000001,26122030.210000012,3927823.4499999993,3.699978219774167,0.6565132722617456,3.4164731575811618,0.4343147721617712,2.118892097803768,8.611022123322048,92.33765591705809,17.743706402191112,57.267691103681614,0.9254742330723857,0.8639779106322075,3.6154081400199223,0.6396519358529236,3.3447477108068133,0.4210373524288756,2.076710435383552,2.628083143267079
Region 4 - Atlanta,4,Atlanta,2025Q4,2610.0,92.0,22104343.0,92.0554014659337,240264.59782608697,83059432.70999996,13242041.85,77095843.79000002,8998700.690000001,50479539.31,2858253.7600000007,3.7576069422194527,0.5990696873460568,3.4878143082560755,0.4071010248981389,2.283693268331929,3.441215123608568,92.82009432833274,15.942851302914955,60.775203565678225,0.8748838050107958,0.7970151715678052,3.6501764655246616,0.5627274158010701,3.379158896849544,0.3617796989119094,2.2084707014799654,0.0
Region 5 - Chicago,5,Chicago,2025Q4,3149.0,92.0,21952408.0,75.774255457219,238613.1304347826,81075564.94000004,15171615.460000003,74904857.79000002,10642843.760000005,48361277.22000001,3763918.8900000006,3.6932424424691837,0.691113952510358,3.4121476691759747,0.4848144112481877,2.2030055755159075,4.6424824702553575,92.38894338316771,18.7129321531435,59.649633346113305,0.8013097218584486,0.7263932781956101,3.6651244276328896,0.673887036879854,3.362420406022923,0.4527913523849994,2.1579161420297144,0.605966141602586
Region 6 - Dallas,6,Dallas,2025Q4,1965.0,92.0,13755285.0,76.08853302356455,149513.96739130435,48702586.500000015,5094206.310000002,44752090.31999999,3235283.2699999996,30439292.65000003,1318620.35,3.5406453955697765,0.3703453843377293,3.2534469711096494,0.2352029252756304,2.212916173674339,2.707495524904,91.8885290004053,10.459827036085652,62.5003615567728,0.9576367722128395,0.8054383588284301,3.4262610324302134,0.3476071418757557,3.132282874102334,0.2101688273659319,2.1128081880396454,0.0
Region 7 - Kansas City,7,Kansas City,2025Q4,1320.0,92.0,7278192.0,59.93241106719368,79110.78260869566,26790749.520000003,4076827.37,25012961.990000006,2764332.8899999997,17979431.86,1227376.51,3.680962184014932,0.5601428720209635,3.4366999372921194,0.37981038285332397,2.4703156855438824,4.581344426678809,93.36417397104611,15.21729493591264,67.11059668777791,0.6543465405343404,0.589948993366402,3.6480509767731295,0.5615888049444664,3.397252301597839,0.3616892379920549,2.437621238259536,0.22428936314487846
Region 8 - Denver,8,Denver,2025Q4,553.0,92.0,3244770.0,63.77800927745892,35269.239130434784,12244669.410000002,2738655.4099999997,11391572.75,2030874.9699999997,7639869.730000001,872764.3300000001,3.7736632827596415,0.8440214283292805,3.510748912865935,0.625891810513534,2.3545181106827298,7.127708399274782,93.03291390371639,22.366103308296662,62.39343402575375,0.5751237437476308,0.5303389916696716,3.669017639902677,0.811547751249306,3.382690160502442,0.5944578313253012,2.253443098662629,2.1809203699254307
Region 9 - San Francisco,9,San Francisco,2025Q4,1303.0,92.0,10479513.0,87.41960859554874,113907.75000000001,45122193.140000015,6630197.569999996,42375298.77000002,5204056.619999999,26837233.04999998,1110295.1800000002,4.305752866569278,0.6326818402725389,4.043632444561118,0.49659336459623643,2.5609236850987234,2.4606409900225867,93.9123207919499,14.693872590431436,59.47679220008757,1.1121473411980118,0.9861153948661547,4.200184937768087,0.5309099678407123,3.933564144736841,0.4116065830721004,2.5566140049277752,0.0
Region 10 - Seattle,10,Seattle,2025Q4,402.0,92.0,2388458.0,64.58084577114428,25961.5,10541256.000000002,1938561.6800000002,9806154.05,1426019.2700000003,6618778.380000002,569754.0,4.4134148475711115,0.8116373325383993,4.105642238632624,0.5970459895045256,2.771151253235352,5.404991587340255,93.02642920350287,18.39023433260704,62.789276534029725,0.8318323891166549,0.7384189766893325,4.402998105035192,0.7850830889540568,4.06315758896151,0.5497266826101811,2.726457641921397,1.821218485737652
Region 1 - Boston,1,Boston,2026Q1,783.0,90.0,6617213.0,93.90113523485171,73524.7,25166405.960000012,4427573.050000001,23309542.379999995,3073412.3299999996,15217618.629999997,1745215.4900000007,3.8031730216331274,0.6690993700822386,3.522561897282133,0.4644572163537731,2.299702099660385,6.934702924103986,92.62165768544244,17.593187748132465,60.46798519497454,0.8343715518905014,0.7584025812679749,3.75026618956188,0.660172742031329,3.479774782047143,0.4456733099180536,2.249407473574513,3.1320776353888937
Region 2 - New York,2,New York,2026Q1,945.0,90.0,12730874.0,149.68693709582598,141454.1,45684727.44000002,8386123.110000005,43195866.30000003,6308481.94,27521285.990000006,4726170.54,3.588498907459144,0.6587232824706305,3.393000849745275,0.4955262254578908,2.1617750666607813,10.345187122342166,94.55209370950338,18.356513390637843,60.24176466007168,0.7680005583277313,0.7356995576266012,3.545829320766315,0.5784674816625917,3.33000673627484,0.4160189274447948,2.1282388701416277,3.463489742329123
Region 3 - Philadelphia,3,Philadelphia,2026Q1,1330.0,90.0,12151124.0,101.51314954051796,135012.5,44744467.17999999,8058654.619999998,41261226.599999994,5320884.67,25473086.459999993,3925707.43,3.682331542333038,0.6632024016872841,3.395671593837738,0.43789238509951833,2.096356391392269,8.773615325907208,92.21525967448116,18.01039352548616,56.930136987721305,0.9227727492534846,0.8614228173459508,3.600399435710358,0.6478171475083324,3.329991166242058,0.4216654356540269,2.0502675651570708,2.5999391767499818
Region 4 - Atlanta,4,Atlanta,2026Q1,2615.0,90.0,21894612.0,93.0300063734863,243273.5,81865298.98000002,13265688.449999996,75862671.32000001,8996726.04,49411784.53999999,2957842.91,3.7390614174848142,0.605888263742696,3.4649013793895964,0.41091050346085145,2.2568011043082192,3.613060657999443,92.66767759381607,16.204287549527976,60.35742268781241,0.8763720494338973,0.7971897716205248,3.627863351655376,0.5667022339495664,3.3615238095238094,0.3643800813008129,2.1835516269464748,0.0
Region 5 - Chicago,5,Chicago,2026Q1,3154.0,90.0,21698606.0,76.44122454731206,241095.7,79667253.03999999,15114437.860000003,73421642.85000001,10498424.229999999,47324507.62999998,3823619.12,3.671537841647523,0.6965626206586729,3.383703213469105,0.4838294326372855,2.180992992360891,4.799486582122024,92.1603796394685,18.971958092255576,59.40271042888714,0.7939822286279589,0.7188807884709276,3.6362735530792856,0.6717950865438302,3.3190079459835706,0.4529157379287999,2.1291789667896674,0.6519178975783644
Region 6 - Dallas,6,Dallas,2026Q1,1975.0,90.0,13588920.0,76.44962025316455,150988.0,47818467.459999986,5155442.200000001,43910411.63000001,3319882.4800000004,29668976.71,1367794.23,3.5189306773459545,0.37938572013081256,3.2313393286589376,0.2443080450837889,2.1833211697471175,2.860389097881809,91.8273084906599,10.781278601855055,62.04501793123759,0.9562237874680255,0.8037101138280306,3.419735122520422,0.3576783060324435,3.14143517487144,0.22070453365923887,2.100563440860215,0.0
Region 7 - Kansas City,7,Kansas City,2026Q1,1330.0,90.0,7182931.0,60.007777777777775,79810.4,26306469.649999995,4041601.140000002,24523097.83,2721396.300000001,17610844.679999996,1234411.5999999999,3.662358673638936,0.562667404155769,3.414079549142265,0.37886989308403507,2.4517630309966774,4.692425918123909,93.22078620306242,15.363525375211276,66.94491854782194,0.6479282384864897,0.5834466250615521,3.6606121720677525,0.5740057383564582,3.3834695380953788,0.36326218589599146,2.419186212522944,0.18953618033259756
Region 8 - Denver,8,Denver,2026Q1,562.0,90.0,3264237.0,64.53612099644128,36269.200000000004,12455848.360000001,2801457.1499999994,11595203.040000001,2084183.3099999991,7747533.650000002,909808.83,3.8158529420504705,0.8582272518815268,3.552193985914626,0.6384901923481656,2.3734592953881726,7.304270280952584,93.09043193907348,22.491098711481094,62.19996764636272,0.584166394780771,0.5402444981782879,3.6914037419278856,0.8169558359359186,3.434392620232172,0.6077582249426167,2.271502882239912,2.579463536159172
