CY_Qtr,Facility_Count,Total_Nurse_HPRD,Nurse_Care_HPRD,Total_RN_HPRD,Direct_Care_RN_HPRD,Contract_Percentage,MDS
2017Q1,13812,3.7076907856657733,3.4468007752721275,0.593177839854774,0.39806901418832885,2.0905429640000968,1227726.611111111
2017Q2,13862,3.7378814703175642,3.4753564593054245,0.5888200117148286,0.39362162806449164,4.14524202570055,1213470.978021978
2017Q3,14354,3.725083341312657,3.4678285918242797,0.583195466507941,0.39381342238633965,2.3755863070880774,1254374.2391304348
2017Q4,14028,3.7409545386211502,3.4805018660278675,0.5921882148555325,0.39978877966293364,2.3224075166417135,1226104.7608695652
2018Q1,14556,3.741064142110143,3.4717556672790018,0.6059829622769975,0.40734843754835537,2.6478126735896197,1270613.1888888888
2018Q2,14543,3.772055438855749,3.5040787851487503,0.6070598658514024,0.4095407085811652,2.6839636265768037,1262310.1978021977
2018Q3,14748,3.767076070529815,3.5064499680349277,0.6008522389518673,0.4095891498205547,2.8427017971358,1278535.4565217393
2018Q4,14789,3.758464163420542,3.4930170450401827,0.6066065805364321,0.41241071424718523,2.9441800777279883,1284622.706521739
2019Q1,14931,3.741086089957278,3.4685777553932513,0.6164481484078589,0.41749480743864814,2.982962717274964,1297898.322222222
2019Q2,14901,3.755113171659603,3.485475501368944,0.6157299360099843,0.41866699749958636,3.1874779969754865,1291157.8131868134
2019Q3,14860,3.7554454913556827,3.490622418231398,0.6163933285815532,0.42142238872131826,3.330123403114207,1289905.597826087
2019Q4,14852,3.7512785622578155,3.4874437766320034,0.6184949637039022,0.42377028700082625,3.4203154303147834,1290745.4130434783
2020Q1,12027,3.7756990294590875,3.5000815598630357,0.6333691686541273,0.43112828222557215,3.184934040017282,1017621.043956044
2020Q2,14643,3.895706292181759,3.6042978280400386,0.665708623441609,0.45127608764677013,3.602883574125431,1149970.098901099
2020Q3,14669,3.870857595400228,3.5801709516191793,0.6797934685611976,0.46603519375030317,3.860768715488888,1118406.9456521738
2020Q4,14579,3.9271697893334543,3.632321556663952,0.6887145925934253,0.4722443384533444,4.612862871118032,1086838.1304347827
2021Q1,14744,3.925340046674525,3.6216156574364016,0.6897732223320617,0.468523485747935,5.015154046583099,1073766.8111111112
2021Q2,14700,3.747226082142121,3.4558802113992995,0.6551270045222578,0.44347004765827025,5.736098909767955,1101747.131868132
2021Q3,14695,3.6185431338863423,3.344062450496673,0.6256117123900049,0.42594936160548236,7.125712262397549,1128945.3152173914
2021Q4,14520,3.614249477529247,3.3474557163036254,0.6081615335464634,0.41483000066453385,8.364003576959348,1125056.4732088181
2022Q1,14646,3.617313848122049,3.3428977508149544,0.6052688300109917,0.4083076849520816,9.719233976261652,1133386.8111111112
2022Q2,14594,3.625504724903593,3.354694302492439,0.5948654080102355,0.401466118837238,10.322103079869278,1145157.3846153847
2022Q3,14583,3.6141994577316616,3.3482407229104094,0.5857229985726614,0.39670426148812027,10.491812862024227,1156454.5652173914
2022Q4,14598,3.60669966288752,3.3468801248595934,0.580696415694373,0.39742746990274513,10.511360608044969,1171841.4891304348
2023Q1,14601,3.6301449236676233,3.358092333979633,0.5920191711243892,0.4020731982223599,10.126364098390567,1190057.1333333333
2023Q2,14498,3.6631564272029937,3.399011154835937,0.5891395797881244,0.40439245974552707,9.655755009592843,1183341.2967032967
2023Q3,14514,3.6626411202046496,3.4058760349976542,0.5857447584745625,0.40619188130762063,8.708955829263862,1192513.4673913044
2023Q4,14512,3.6798840994329853,3.421895851070768,0.5893390221136131,0.408301898172124,7.9478868204535615,1200635.608695652
2024Q1,14534,3.678024569504045,3.412972527134591,0.5979341791479752,0.4127177978577751,7.530397331985965,1215851.043956044
2024Q2,14470,3.7154353216118685,3.4496274182212816,0.6024924984602211,0.41728960999509684,7.03463114031566,1210517.043956044
2024Q3,14453,3.7311381946193327,3.4680774941249797,0.6011172854464932,0.41802629547817827,6.7816280596664305,1214154.0326086956
2024Q4,14472,3.750018316438386,3.4879514729685694,0.6066455057336912,0.4242622619740905,6.375827712266268,1221734.5760869565
2025Q1,14452,3.731673180709481,3.4639286849412545,0.6136422237739612,0.42742260344653416,6.18452084706907,1232468.388888889
2025Q2,14442,3.782162775334651,3.5102516145654183,0.619348908817597,0.4311905754516486,5.978134412303302,1226987.879120879
2025Q3,14392,3.7746360481935164,3.5077522643781354,0.617744544994647,0.4330341168964624,5.524007440135188,1229133.4130434783
2025Q4,14266,3.7634957710845667,3.4970443255132344,0.6178997979145423,0.4337844058359342,5.249889154056121,1224062.4347826089
