Chain,"Chain ID","Number of facilities","Number of states and territories with operations","Number of Special Focus Facilities (SFF)","Number of SFF candidates","Number of facilities with an abuse icon","Percentage of facilities with an abuse icon","Percent of facilities classified as for-profit","Percent of facilities classified as non-profit","Percent of facilities classified as government-owned","Average overall 5-star rating","Average health inspection rating","Average staffing rating","Average quality rating","Average total nurse hours per resident day","Average total weekend nurse hours per resident day","Average total Registered Nurse hours per resident day","Average total nursing staff turnover percentage","Average Registered Nurse turnover percentage","Average number of administrators who have left the nursing home","Total number of fines","Average number of fines","Total amount of fines in dollars","Average amount of fines in dollars","Total number of payment denials","Average number of payment denials","Average percentage of short-stay residents who were re-hospitalized after a nursing home admission","Average percentage of short-stay residents who have had an outpatient emergency department visit","Average percentage of short-stay residents who newly received an antipsychotic medication","Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened","Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge","Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days","Average percentage of long-stay residents who received an antipsychotic medication","Average percentage of long-stay residents experiencing one or more falls with major injury","Average percentage of long-stay residents with pressure ulcers","Average percentage of long-stay residents with a urinary tract infection","Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder","Average percentage of long-stay residents whose ability to move independently worsened","Average percentage of long-stay residents whose need for help with activities of daily living has increased","Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average percentage of long-stay residents who were physically restrained","Average percentage of long-stay residents with new or worsened bowel or bladder incontinence","Average percentage of long-stay residents who lose too much weight","Average percentage of long-stay residents who have symptoms of depression","Average percentage of long-stay residents who used antianxiety or hypnotic medication","Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF"
"MAXIMUS HEALTHCARE GROUP",338,7,2,0,0,0,0,100,0,0,4.6,4.1,3.7,4.6,3.9,3.5,0.5,40.8,29.9,0.2,0,0,0,0,0,0,20.5,9.7,1.7,1.7,52.8,91.4,90.8,1.7,1.2,10.2,3.5,5.9,0.6,0.3,13.3,12.1,99.8,99.6,0,13.7,3.2,1.8,17.4,10.3
"MB HEALTHCARE",341,12,2,0,0,0,0,100,0,0,3.7,2.9,3.1,4.8,3.6,3.2,0.6,43.4,42.6,0.7,2,0.2,56965,4747.08,0,0,23.6,8.9,0.9,1.9,62,86.6,88.1,2.1,1,12.4,2.3,4.8,0.2,0.4,7,6.8,99.3,96.4,0,18.3,3.3,5.4,22.3,10.4
"MEDICALODGES, INC.",344,20,3,0,1,4,20,100,0,0,2.7,2.4,3.8,3.2,4,3.4,0.6,54.4,48.4,0.3,25,1.3,602562,30128.1,2,0.1,24.1,14.2,3.1,2.5,54.2,76.8,75.9,1.7,2.6,20.2,4.6,3.8,4.4,0.7,15.9,17.4,95.9,89.2,0,26.1,4.5,3,26.2,10.7
MEDILODGE,345,53,1,0,3,8,15.1,100,0,0,3.1,2.6,3.8,4.3,3.9,3.3,0.9,44.2,39.5,0.7,37,0.7,1507247,28438.62,12,0.2,23.1,11.5,1.1,1.6,57.1,67.8,67.2,1.8,1.7,13.1,3,5.7,1.2,0.5,8.6,6.8,93.8,91.3,0.3,22,6.7,3.3,24.1,10.8
"MERCYHEALTH SYSTEM",346,3,2,0,0,0,0,0,100,0,4.7,4.7,3.3,4,7.3,6.2,3.1,35.7,54.5,0,1,0.3,53847,17949,0,0,23.2,9.4,2.5,3.8,54.2,99,100,1.3,1.5,3.9,4.4,11.2,3,0.9,10.5,18.3,"",100,0,19.8,7.8,0,3.1,9.9
"METHODIST RETIREMENT COMMUNITIES",822,6,1,0,0,0,0,0,100,0,4.5,4.2,4.3,4,4.6,4,0.7,42.9,33.5,0.5,3,0.5,62686,10447.67,0,0,29.9,12.5,1.2,2.2,67.5,85.8,87,1.8,1.5,7.5,3.7,4,1.6,0.8,24.2,18.8,99.4,96.7,0,21.6,11,1,15.3,10.3
"MGM HEALTHCARE",348,32,3,0,1,5,15.6,96.9,3.1,0,2.4,2.2,1.7,3.9,3.6,3.1,0.4,60.5,57.9,0.8,33,1,1611737,50366.78,17,0.5,23.2,14.6,0.5,1.5,50.1,43.7,51.2,2.2,2.3,16.7,2.6,4.5,0.5,0.1,7.7,8.7,83.8,69.7,0,17.9,2.8,32.5,24,10.9
"MICHAEL FEIST",769,7,3,0,0,0,0,100,0,0,3.7,3.4,2.4,4.3,4.2,3.6,0.8,48.9,54.8,0.1,1,0.1,30000,4285.71,0,0,23.1,10.5,1.2,2.5,66.2,84,89.5,1.9,1.2,8.4,3.1,6.4,1.8,0.4,13.4,12.3,94.8,93,0,21,6.7,11.3,17,10.3
"MICHAEL SLYK",789,7,1,0,0,0,0,100,0,0,2.6,2.7,1,4.7,3.3,3,0.6,56.7,57.3,1.7,5,0.7,198139,28305.57,0,0,26.8,10.8,0.3,1.2,43,83.3,85.2,1.6,1.4,6.2,4.2,2.6,0,0,11.6,9.9,98.5,95.4,0,24.2,5.4,74.4,28.9,10.9
"MIDWEST HEALTH",350,10,2,0,0,0,0,100,0,0,3.7,3.3,4.2,3.5,3.9,3.5,0.8,50.3,36.4,0.4,4,0.4,60403,6040.3,0,0,28.1,15.8,1.8,4.6,43.5,78.9,79.4,1.9,2.1,13.9,3,5,2.2,0.6,11.7,14.2,95,91.1,0,23.8,3.5,1.4,21.7,11.7
"MILLENNIUM HEALTH SYSTEMS",351,4,2,0,0,1,25,100,0,0,4,3,4.3,4.5,5,4.5,1.2,23,30.6,0,1,0.3,33579,8394.75,0,0,26.8,5.8,0.5,2.1,22.1,98.2,98.9,2.4,0.7,5.9,1.2,4.3,0.7,0.7,18.3,14.1,100,99.9,0.2,14.3,5.7,1.6,28.6,11.4
"MILLER'S MERRY MANOR",352,14,1,0,0,1,7.1,100,0,0,3.7,3.5,3.2,3.9,3.8,3.3,0.8,49.1,36.4,0.7,1,0.1,10255,732.5,0,0,23,12.4,0.8,5.3,51.2,95.3,97.5,1.6,1.5,8.6,4.1,5,3.9,0.4,19.4,13.6,99,99.7,0,12.2,7.4,10.3,15.3,10.7
"MISSION HEALTH COMMUNITIES",354,33,5,0,1,6,18.2,100,0,0,2.6,2.7,2.7,3,3.5,3.1,0.7,50.3,39.9,0.5,29,0.9,593158,17974.48,4,0.1,21.5,12.1,2.3,3.6,47.4,70,74.1,1.9,2,26.3,3.4,5.2,3.9,1.3,18.8,16.2,97,95.8,0,20.1,5.1,8.6,26.9,10.8
"MISSION HEALTH SERVICES",355,7,2,0,1,1,14.3,42.9,28.6,28.6,3.6,3.1,2.7,4.6,3.5,3.1,0.9,51.6,40.2,0.4,6,0.9,222141,31734.43,1,0.1,16.9,13.4,0.4,1.9,50.2,86.7,88.9,1.3,2,21.6,4.7,5.2,1.5,0.7,7.2,5.4,97.9,98.1,0,22.8,3.6,10.6,32.4,10
"MISSION POINT HEALTHCARE SERVICES",356,21,2,0,1,4,19,100,0,0,2.8,2.1,3.7,4.3,3.7,3.2,0.8,43.1,33.8,0.7,23,1.1,1547386,73685.05,17,0.8,23.5,11.9,2.1,1.2,57.4,79.2,82.5,1.7,1.4,13.3,2.5,5.1,1.6,0.4,8.6,6.8,94.5,96.8,0,16.2,4.6,3.7,20.2,11
"MISSISSIPPI CARE CENTER",357,5,1,0,0,1,20,100,0,0,3.6,3.2,3.8,2.4,4.5,3.6,0.6,49.5,38.3,0,7,1.4,55696,11139.2,0,0,27.5,12.9,4.3,3.2,55.5,87.1,99,2.1,2.5,17.5,3.2,3.7,6,2.5,22.8,24.1,99.3,99.8,0,25.2,5.7,0.8,25.9,10.9
"ML HEALTHCARE",358,6,1,0,0,2,33.3,66.7,0,33.3,2.5,2.5,1.2,4.3,3,2.7,0.4,58.1,57.3,0.2,10,1.7,258954,43159,0,0,26.5,13.2,1.1,1.1,56,76.1,79,1.8,2,8.5,3.1,3.2,0.6,0.3,7.5,8.5,89,89.6,0.3,13.8,2.7,1.1,19.8,10.7
"MO OP HOLDCO, LLC",790,9,1,0,0,1,11.1,100,0,0,2.1,2.3,2.2,3.1,3.4,2.9,0.5,62.5,60.5,0.9,6,0.7,148429,16492.11,0,0,26.9,15.7,0.9,2.5,47.1,38.4,56.1,2.5,2.9,22.1,3.6,3.8,1,1.4,10.2,10.1,83.1,84.9,0.1,16.9,1.5,16.3,28,11
"MOMENTUM SKILLED SERVICES",360,9,1,0,1,1,11.1,33.3,0,66.7,2,2.3,1.2,3.4,3.4,2.9,0.2,64.5,68.2,1,15,1.7,701950,77994.44,1,0.1,30.3,10.5,0.8,3,51.8,82.7,90,2.5,2.5,7,3.3,4,0.1,0,14.4,16.4,98.3,98.4,0,13.3,1.7,0.9,15.1,11
"MONARCH HEALTHCARE MANAGEMENT",361,45,1,0,1,5,11.1,95.6,4.4,0,2.2,2.2,3.5,3.1,3.4,3.1,0.9,48.2,47.3,1,85,1.9,1250065,27779.22,4,0.1,24.4,16.7,2.2,2.7,53.5,77.5,86.8,1.7,2.2,19.5,3.4,7.2,1.7,1.6,17.3,14.1,96.4,97.2,0,22.3,5.2,5.1,12.8,10.2
"MONUMENT HEALTH GROUP",770,11,1,0,1,2,18.2,81.8,0,18.2,3.2,2.4,2.7,4.9,3.7,3.2,1.1,55.8,54,1.3,14,1.3,324298,29481.64,1,0.1,17.2,11.9,0.9,1.2,53.6,89.2,96,1,1.2,9.2,2.3,3.7,1.4,0.4,14.7,11,98.1,98.7,0.1,18.6,2.6,11.8,23.3,9.7
"MORDECHAI WEISZ",712,7,3,0,0,1,14.3,100,0,0,2.4,2,1.7,4.4,3.3,3,0.5,55.5,54.1,0.2,9,1.3,270488,38641.14,0,0,20.8,10.6,0.9,3,57.1,61,57,1.8,1.3,20.4,3.3,4.2,0.4,0.4,7.7,5.2,93.5,78.6,0,27.1,9.2,29.3,22.1,11.3
NAHS,362,12,1,0,0,1,8.3,100,0,0,4.1,3.3,3.2,4.9,4.5,3.9,0.5,37,41.8,0.1,2,0.2,110170,9180.83,1,0.1,21.7,9.1,0.7,0.4,61.8,90,96.5,1.9,1.7,5.2,1.5,3.3,0.6,0.1,7.3,6.7,95.1,98.7,0,12.6,4,6.2,8.8,10.7
"NATIONAL HEALTH CARE ASSOCIATES",363,43,6,0,0,8,18.6,100,0,0,3.2,2.8,3,4.3,3.8,3.4,0.7,35.9,37.8,0.3,28,0.7,597454,13894.28,0,0,23.2,11.4,1,2.6,59,74.3,74.3,1.7,1.2,17.8,3.5,4.5,0.8,0.3,13.1,12.2,93.8,88.1,0,27.4,7.3,38.4,19.1,10.2
"NATIONAL HEALTHCARE CORPORATION",364,69,8,0,0,3,4.3,97.1,2.9,0,3.9,3.4,3.3,4.5,3.8,3.3,0.7,46.6,31.4,0.2,24,0.3,1158622,16791.62,5,0.1,20.4,10,1.3,1.1,67,86.6,85.6,1.4,1.2,12.2,4.1,4,1.5,0.7,14.9,13.9,94.9,94.1,0,18.9,5.1,2.8,23.4,11.2
"NATIONAL LUTHERAN COMMUNITIES & SERVICES",365,2,2,0,0,0,0,0,100,0,4,3,4.5,4.5,4.5,4.3,1.1,32.7,26.7,1,1,0.5,17345,8672.5,0,0,17.8,10.8,0.7,2,61.2,73.9,82.9,1.7,1.6,12.6,1.2,9.9,1.8,0.8,27.3,17.3,96.5,82.9,0,20.5,9.4,1.5,26.7,9.1
