Chain,Chain ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay residents with new or worsened bowel or bladder incontinence,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF
AMERICAN SENIOR COMMUNITIES,33,92,1,0,0,4,4.3,47.8,20.7,31.5,3.9,3.4,2.3,4.7,3.5,3,0.6,43.9,35.8,0.3,10,0.1,229761,2497.4,2,0,21.7,9.5,0.8,1.7,49,87.1,87.1,1.5,1.3,8.9,3.4,3.3,0.7,0.1,6.1,5.7,97.5,95,0.1,19.7,3.8,31.3,22.8,10.7
SPRINGPOINT SENIOR LIVING,485,8,2,0,0,0,0,0,100,0,3.8,3,4.6,4.3,4.6,4.3,1.2,41.7,41.7,0.5,3,0.4,370451,46306.4,0,0,23.1,7.1,0.5,2.4,55.3,87.2,86.9,2.6,1.2,10,2.2,3.5,2.6,1.1,19.7,17.6,99.2,98.3,0,12.6,5.7,4.9,16.5,10.6
CIVITA CARE CENTERS,683,6,1,0,0,5,83.3,100,0,0,2.2,2,3,2.7,3.5,3.1,0.6,35.3,45.3,1.5,6,1,143781,23963.5,0,0,28.5,9.3,3.4,2,49.6,65.5,68.7,2.4,2.1,24.3,2.5,4.2,1.7,1,18.6,19.8,87.3,76.8,0,16.8,7.9,29.7,16.3,11.1
STERN CONSULTANTS,661,23,3,0,0,2,8.7,100,0,0,2.6,2.4,2.1,3.9,3.6,3.1,0.6,46.9,51.8,0.5,25,1.1,1252528,54457.7,8,0.3,22.3,13.8,0.9,1.6,50.7,76.5,77.7,2,2.2,15.4,3,3.5,1,0.2,10.2,10.3,95.9,91.5,0.1,22.4,9,33.1,23.1,11.2
IHS MANAGEMENT CONSULTANTS,280,5,1,0,1,1,20,100,0,0,2.6,2.6,2.2,2.2,3.2,3,0.3,68.6,71.8,1.4,4,0.8,66056,13211.2,2,0.4,15.1,5,5.3,0,50,45.9,62.9,1.9,2.8,26.8,4.8,3,7.6,2.8,20.5,18.9,91.7,83.8,0,18.6,3.8,1.2,27.7,10.8
"HEALTHPEAK PROPERTIES, INC.",261,15,6,0,0,1,6.7,100,0,0,3.4,3,4.3,3.9,4.7,4.2,1.1,45.9,46.4,0.5,11,0.7,141043,9402.9,0,0,26.5,9.9,1.1,1.5,53.8,90.9,93.6,1.9,1.2,8.1,2.8,5.5,1.6,0.9,21,14.5,98.7,96.4,0,22.8,5,2.3,14.8,11.3
VANTAGE CARE,669,9,1,0,0,0,0,100,0,0,2.1,2.4,2.6,2.2,3.5,3.1,0.4,40,44.2,1.2,6,0.7,132879,14764.3,1,0.1,28,12.3,1.7,2.4,46.1,70.4,69.4,2.2,1.7,21.5,3.9,5.1,1.8,0.9,16.8,17.4,96.5,92.9,0.1,24.2,5.5,4.1,21.1,11.6
METHODIST RETIREMENT COMMUNITIES,822,6,1,0,0,0,0,0,100,0,4.7,4.3,4.5,4.2,4.6,4,0.7,37.2,30.6,0.5,3,0.5,62686,10447.7,0,0,31.4,11.1,1,3.3,69.8,85.8,87.2,2.1,1.8,7.9,3.6,3.4,1.3,0.4,21.4,16,99.4,97,0,21.7,11.5,1,13.2,10.3
603 HEALTHCARE,826,7,2,0,0,0,0,100,0,0,3.1,3.1,3.6,3,4,3.5,1.1,41.4,34.6,0.3,4,0.6,58370,8338.6,0,0,26.8,14,1.7,3.1,52.4,86.5,86.5,1.7,2.1,17.3,4.4,3.8,1.1,1,16.7,21,96.8,98.5,0.1,20.8,5.5,34.2,17.7,10.9
UPSTATE SERVICES GROUP,538,17,1,1,0,2,11.8,100,0,0,2,2.1,2.6,2.8,3.3,2.8,0.5,50.6,40.6,0.1,12,0.7,782630,46037.1,2,0.1,23.9,13.7,1.1,3.8,52.1,75,75.3,1.8,2.1,21.1,4.4,6.5,0.8,0.7,10.3,12,95.8,91,0.1,23.5,5.4,5,15.5,10.5
ARBOR CARE CENTERS,40,6,1,0,0,0,0,83.3,0,16.7,2,2.5,1.7,2.5,3.3,2.9,0.4,57.6,80.9,1,0,0,0,0,1,0.2,12.9,4.7,0,8.4,48.8,54.5,57.7,1.8,1.7,23.2,4.8,5.5,3.4,2.1,22.1,20.4,91.3,87.3,0,25,6.1,1,20.8,11
LITTLE SISTERS OF THE POOR,319,5,5,0,0,0,0,0,100,0,5,4.2,4.8,3.6,5.8,5.5,1.5,30,32.1,0,1,0.2,9272,1854.4,1,0.2,,,,,,,33.3,2.1,1.3,7.1,5.4,3.9,2,1,15.3,18.2,100,96.3,0.2,25.9,5.1,4.1,14.5,
MAJESTIC CARE,331,35,3,0,1,4,11.4,88.6,2.9,8.6,2.4,2.2,1.6,4.5,3.3,2.9,0.5,49.4,44,0.8,22,0.6,898917,25683.3,10,0.3,22.6,9.8,1.1,2.4,43.4,62.4,65.9,1.6,1.5,9.9,3.9,3.6,0.3,0.2,6,4.5,92.8,90.8,0,23.9,6.2,39.8,25.5,10.6
CITIZENS MEMORIAL HEALTH CARE,148,6,1,0,0,0,0,0,100,0,3.2,3.8,2.8,1.7,3.3,2.9,0.6,46.8,37,0.2,0,0,0,0,0,0,26.2,15,2.4,5.4,49,92.6,94.3,2.1,3,20,4.6,3,3.4,0,27.7,25.4,98,97.9,0,17.2,3.5,5.4,26.4,10.9
VI LIVING,548,10,6,0,0,0,0,100,0,0,4.8,4.3,5,4.6,5.6,4.9,1.7,28.7,21.7,0.1,0,0,0,0,0,0,24.8,10.9,0.9,1.6,60.2,93.8,91.4,1.6,1.2,11.6,1.7,2.2,1.4,0.5,11.9,13.4,98.2,96.9,0,15.9,4.9,1,11.6,9.8
KALESTA HEALTHCARE GROUP,297,18,3,0,3,2,11.1,100,0,0,2.4,2.1,2.7,4.2,4,3.6,0.6,48,50.3,1.1,25,1.4,671289,37293.8,4,0.2,20.9,14.9,1.8,2,62.8,83.9,88.6,1.7,1.9,10.4,1.7,4.4,1.5,0.8,11.5,10.3,95.7,93.3,0.3,16.7,4.6,9.2,16.3,11
NAHS,362,12,1,0,0,1,8.3,100,0,0,4,3.2,3.3,4.8,4.5,4,0.5,36,40.3,0.1,2,0.2,110170,9180.8,1,0.1,22.4,9.2,0.7,0.4,63.8,90,97.2,1.8,1.4,5.1,1.2,3.3,1,0.1,8.5,9,95.1,99,0,11.8,4.2,5.9,8.2,10.7
BEST CARE SERVICES,583,10,2,0,0,0,0,100,0,0,2.4,2.5,3,2.4,3.5,3.2,0.6,37.7,47.2,0.2,7,0.7,504165,50416.5,1,0.1,25,13.7,1.5,2.6,41.8,71.6,77.2,2,1.8,15,4.5,4.4,1.2,0.7,21.3,24.1,91.1,92.2,0.1,26.5,3.8,8,19.1,10.6
MATHER SENIOR LIVING COMMUNITIES,877,2,2,0,0,0,0,50,50,0,4.5,4.5,3,4.5,5.4,4.9,1.3,23,22.9,0,1,0.5,8018,4009,0,0,7.9,3.5,0,3.7,48.4,97,93.2,1.9,1.4,14.4,4.7,5.6,1.5,1.4,17.9,30.3,100,99.6,0,18.6,2.1,5.9,19,9.7
FOCUSED POST ACUTE CARE PARTNERS,224,25,1,0,2,8,32,88,0,12,1.9,2.1,1.2,4,3,2.6,0.3,49.7,52,0.7,43,1.7,1840773,73630.9,6,0.2,25.7,13.1,1.4,1,53.9,83.7,87.9,1.7,1.9,13,3.2,5.3,0.9,0.2,9.5,15.1,98.9,99.2,0,9.5,2.8,0.6,18.6,10.6
STERLING CARE,492,6,1,0,0,1,16.7,100,0,0,4.2,3.5,2,4.8,3.7,3.3,0.6,48.5,47.6,0.3,2,0.3,14230,2371.7,0,0,19.4,8.2,0.7,1.5,62.2,76.7,72.2,1.2,0.9,6.8,0.7,3.6,0.7,0,11.3,12.2,98.9,94.5,0,31.9,3.7,26.9,11.2,13.6
GREENBRIER SENIOR LIVING,872,2,2,0,0,0,0,50,50,0,4.5,4,4.5,3.5,4.6,3.9,0.6,35.6,50,0,0,0,0,0,0,0,29.6,8.7,1.5,0,51.8,82,98.1,2.2,0.8,10.9,4.2,7.4,0.8,0.5,26.8,23.9,98,99.2,0,26.8,7.1,1.1,31.6,12
HIGHBRIDGE HEALTHCARE,269,6,3,0,1,3,50,100,0,0,2.3,2.3,2.2,3.7,3.6,3.2,0.5,43.2,53.2,0.7,7,1.2,431562,71927,1,0.2,23.9,11.6,2.7,3.1,72.9,65.9,69.5,2.4,2.3,18,1.9,5,1,0.2,10.2,10.8,90.3,86.2,0,22.8,5.9,45.1,14.5,11.1
MISSION HEALTH COMMUNITIES,354,33,5,0,1,4,12.1,100,0,0,2.6,2.7,2.8,2.8,3.5,3.1,0.6,48.1,39.2,0.5,28,0.8,577565,17502,4,0.1,22.4,11.5,2.8,4,48.3,70,74.3,1.9,2,26.1,3.3,5.3,3.7,1.2,18.5,16.8,97,95.6,0,20.2,5,8.7,26.7,10.8
BEAVER VALLEY HOSPITAL,747,5,1,0,0,1,20,40,0,60,2.2,1.8,1.6,4.6,2.7,2.4,0.6,62.5,48.8,0.8,7,1.4,201734,40346.8,1,0.2,15.3,9.4,0,5.2,46.7,89.5,95.9,1.7,2,13.8,1.9,4,1,0.1,10.5,9.2,100,99.9,0,18.8,1.1,11.5,16.2,9.9
ABRAHAM BAK & MENACHEM GASTWIRTH,4,18,1,0,0,2,11.1,94.4,0,5.6,2.6,2.4,3.3,3.6,4.5,4,0.5,35.3,31.4,0.5,12,0.7,321353,17852.9,3,0.2,24,9.2,4.4,1.1,61,97.8,96.8,2.9,1.4,16.6,1.6,5.4,1.4,0.4,8.6,14.5,99.7,99.6,0,10.1,4.8,18.5,15,11.3
CLEAR CHOICE HEALTHCARE,149,9,2,0,0,0,0,100,0,0,3.8,3.3,3.7,3.9,4.1,3.5,0.6,45,52.2,1.2,9,1,156238,17359.8,0,0,26.1,9.2,1.5,1.1,54.6,95.7,99.1,2,1.3,8,2.4,4.3,0.8,0.6,13.3,12.3,99.8,99.8,0,12.7,5.1,2.3,18.1,12.3
CARE & REHAB,673,6,2,0,0,0,0,100,0,0,3.3,3.3,4.5,2.5,4.3,3.8,1.1,34.1,32.7,0.3,1,0.2,157729,26288.2,2,0.3,25.4,27.2,0.3,6.3,45.6,81.6,84.7,1.1,2.7,14,2,5.9,2.1,3,21.9,20.5,97.8,98.3,0,24.8,3.3,5.1,10.7,9.6
CORPORATE INTERFACE SERVICES,863,41,1,0,1,5,12.2,95.1,2.4,2.4,2.6,2.5,2.5,3.9,4.2,3.9,0.4,35.1,75,,51,1.2,1450927,35388.5,14,0.3,23.4,12.4,2.2,0.7,58.2,93.1,93.8,2.5,1.6,10.6,1.8,4,1.1,0.5,9.9,12.1,97.9,98.5,0,9.7,3.9,13.6,13,10.4
FRANCISCAN COMMUNITIES,227,6,3,0,0,0,0,0,100,0,4,2.8,4.5,4.2,4.8,4.4,1.3,41.2,30.5,0.2,12,2,595322,99220.3,1,0.2,25.8,12,0.6,3.6,52.5,89.5,96.5,1.7,1.3,12,2.5,4.3,0.4,0.2,10.8,6.7,98.2,99.4,0,24.4,5.3,3.2,17.5,10.9
RIVERSIDE HEALTH SYSTEM,453,6,1,0,0,0,0,0,100,0,3.3,3.2,3.2,3.7,3.7,3.3,0.8,45.4,33.7,0.6,2,0.3,82273,13712.2,1,0.2,19.3,13.3,1.3,3.5,54.2,87.5,93.6,1.4,1.6,14.3,3.1,6.6,2.2,1.3,15.2,12.6,97,98.4,0,22.7,4.6,1.3,15.8,10.6
NORTH SHORE HEALTHCARE,377,59,4,0,1,2,3.4,100,0,0,2.7,2.8,3.4,2.5,3.6,3.2,0.9,41.5,39.5,0.6,41,0.7,1572870,26658.8,6,0.1,24.9,15.2,1.8,2.5,48.9,79.1,81.2,1.9,2.1,17.2,3.7,4.9,2.5,2.4,23.4,18.7,95.7,95.5,0.2,26.9,4.5,5.1,16.1,10.5
IMMANUEL,281,3,2,0,0,0,0,0,100,0,4.7,3.3,5,4.7,5.2,4.8,1.5,35.3,16.9,0,0,0,0,0,0,0,18.9,10.6,1.6,0.7,63.6,75.7,84.2,1.6,1.1,11.8,3.1,2.4,1,0.8,22.7,16.5,97.9,93.8,0,33.3,5,1.1,19.8,10
AMBASSADOR HEALTH,28,4,2,0,0,0,0,100,0,0,4,3.8,3.8,3.8,5,4.4,1.1,36.9,26.5,0,0,0,0,0,0,0,21.9,11.6,2.9,0.9,59.7,86.2,90.8,2,2,16.5,3.9,2.3,2.5,0.5,13.1,12.2,95.7,89.5,0.7,19.3,2,2.8,24.8,10.3
ENGAGE HEALTHCARE,755,5,1,1,0,2,40,100,0,0,1.5,1.3,2,3.3,3.3,3.1,0.5,49.1,50.6,1,4,0.8,426517,85303.4,2,0.4,18.8,7.2,1.5,2.8,61.7,28.7,35,1.5,1.3,10.6,2.5,8.4,1.8,0.4,24.2,24.8,73,61.4,0,25.2,4.1,37.8,13.1,10.6
PRIME HEALTH CARE ENTERPRISES,419,5,1,0,0,0,0,100,0,0,4,3.8,4,2.4,4.3,3.7,0.6,38.7,26.8,0,1,0.2,4558,911.6,0,0,31.6,19.9,1.3,0.8,18.6,68.2,76.8,1.7,3.4,26,3.3,5.4,1.5,1.5,10.6,12.6,97.8,91,0.1,8.8,5.2,0.5,20.5,11.1
PEACH HEALTH GROUP,604,5,1,0,1,2,40,100,0,0,1.6,1.8,1.8,1.6,3.3,2.9,0.2,46.2,34.7,0.6,6,1.2,287757,57551.4,1,0.2,25.4,16.4,10.1,2.5,41.1,47.5,41.1,2.5,2,22.4,3,5.8,2.3,2.1,16.5,20.9,86.2,67.7,0.5,15.6,5.4,26.2,24.6,10.5
FOURSQUARE HEALTHCARE,226,10,1,0,0,0,0,40,0,60,3.6,4.3,1.2,3.6,3.2,2.7,0.4,47.1,36.4,0.3,4,0.4,107993,10799.3,0,0,29.3,10.1,1.1,2.2,63.6,93.8,99,2.2,1.5,8.7,4,4.6,1.4,0.7,15,12,99.6,99.9,0,19.1,2.6,37.3,28.4,11
C. ROSS MANAGEMENT,95,8,1,0,1,2,25,100,0,0,1.9,2.5,1.1,2.4,3.2,2.8,0.3,39.8,51.3,0.3,7,0.9,279541,34942.6,1,0.1,23.4,14,5.5,1.8,36.7,65.8,70.2,2.7,3.8,36.3,4.6,3.6,4.2,0.7,20.2,16.9,95.7,92.2,0.1,17.5,6.8,36,30,14.5
PLAINVIEW HEALTHCARE PARTNERS,657,11,3,1,1,3,27.3,100,0,0,2.1,2.1,2.2,2.9,3.5,3.3,0.5,53.5,54.9,0.8,12,1.1,580451,52768.3,4,0.4,25.6,13.7,2,5.5,44.7,76.3,74.9,2,2.3,13.5,3.3,4.4,0.8,0.6,16.5,14.9,94.5,90.5,0,15.6,6.3,6.7,22.8,11.5
ASBURY COMMUNITIES,47,7,3,0,0,1,14.3,28.6,71.4,0,4.4,4,3.9,4.4,3.9,3.6,0.8,35.7,28.5,0.7,6,0.9,40324,5760.6,0,0,21.4,8.4,1.7,1.8,54.5,95.3,90.4,1.4,0.8,15.2,4.1,2.9,1.1,0.1,14,11.3,99.5,93,0,23.6,3.9,5.6,24.1,10.4
EVERTRUE,785,5,1,0,0,0,0,20,80,0,5,4.6,4.8,4.4,4.8,4.3,0.9,34.3,39.2,0.5,1,0.2,41347,8269.4,0,0,18.2,4.8,1,2.3,59,87.5,82.9,1.4,1.1,12.9,3.7,4.4,2.9,0.8,20.3,16.8,98.1,97.2,0,18.2,6.6,4.1,15.7,10.6
OAKBEND MEDICAL CENTER,579,5,1,0,0,0,0,60,0,40,3.2,3.4,1.8,3.8,3.1,2.7,0.4,49,28.9,0,7,1.4,162280,32456,0,0,22.7,14.8,2,2,60.8,88.8,85.1,1.9,2.5,8.5,3.8,8.3,1.3,0,11.2,14.6,99.6,99.3,0,12.4,6.2,0.8,15.5,11
SPYGLASS HEALTHCARE,703,9,1,0,0,3,33.3,100,0,0,3.1,2.7,2.9,4.7,4.1,3.8,0.6,34.4,41.3,1.5,7,0.8,143068,15896.4,0,0,20.7,13.8,1.9,1.4,78,94.1,97.8,1.5,1.9,12.6,1,3.3,0.4,0,4.8,2.7,99,99.2,0,8.8,3.2,5.8,10.1,10.4
SIMCHA HYMAN & NAFTALI ZANZIPER,580,84,6,0,4,6,7.1,100,0,0,2.5,2.7,2.2,3.3,3.4,3,0.5,50.5,51.1,0.6,74,0.9,2963532,35280.1,8,0.1,24.3,12.6,1.4,3.6,49.3,78.1,75.4,2,1.8,12.2,3.3,5.7,1.3,0.3,13.8,11.7,95.1,91.2,0,17.6,6.8,6.2,22.4,11.3
EVERGREEN HEALTHCARE GROUP,846,44,6,1,3,10,22.7,100,0,0,2.5,2.4,3.3,3,3.9,3.4,0.7,50.7,49.6,0.4,83,1.9,2156851,49019.3,1,0,19.8,16.5,1.7,2.5,45.6,71.8,73.7,1.7,2.3,18.6,3.4,4.4,1.8,1,20.5,16.7,91.5,92.4,0,22.7,5.9,6.7,16.3,10.2
JOURNEY HEALTHCARE,766,36,4,1,1,1,2.8,100,0,0,1.9,2.3,1.4,2.7,3.2,2.8,0.4,53,60.5,0.6,37,1,1022726,28409.1,5,0.1,23.7,13.1,3.1,3.3,51.5,67.9,63.8,2.2,1.9,21.4,2.9,5,1.1,0.5,17.4,17.3,94.2,88,0,18.8,5.3,35.8,22.5,10.7
VRC MANAGEMENT,555,5,1,0,0,0,0,100,0,0,4.8,4,2.2,5,3.7,3.3,0.7,53.9,38.9,0.4,0,0,0,0,0,0,23.7,7.7,0.2,0.3,47.4,86.9,80.7,1.4,1.3,4.3,3.2,4.3,0,0.1,6.7,4.4,98.2,93,0,21.2,2.1,3.7,20,11.1
THE WELLBRIDGE GROUP,517,8,1,0,0,1,12.5,100,0,0,3.1,2.8,3.9,4.4,3.9,3.5,0.7,50.9,40.6,0.1,5,0.6,309381,38672.6,0,0,29.9,10.8,0.7,0.9,64,86.3,90.8,2.4,1.7,11.6,4.7,2.4,2.1,0.1,8.4,7.8,99.6,99,0,5,4.5,1.2,18.1,11.3
GOOD SAMARITAN SOCIETY,726,91,9,1,4,7,7.7,3.3,95.6,1.1,3,2.8,4,2.8,3.7,3.2,0.9,42.8,37.2,0.5,81,0.9,2237184,24584.4,6,0.1,20.8,12.7,1.5,2.3,52,73.1,79.5,1.6,2.1,18.1,4.6,4.7,2.4,1.9,21.2,20,96.8,96.8,0.2,25.4,5.4,3.4,16.5,10.2
NURSING CARE MANAGEMENT OF AMERICA,379,5,2,0,0,0,0,100,0,0,3.4,2.8,2.8,4.8,3.8,3.4,0.6,37.1,28.2,0.4,4,0.8,43883,8776.6,1,0.2,21,12.9,0.1,0.5,60.8,84.7,84.5,1.9,1.4,8,4.1,3.1,0.2,0.2,3.7,4.4,98,97,0,25,4.5,24.5,22.9,10.3
BRIDGES HEALTH,91,34,1,0,0,1,2.9,100,0,0,3.6,3.5,3.4,3,3.6,3.3,0.4,52.2,44,0.3,17,0.5,248228,7300.8,1,0,30,20.2,1.6,4.3,48.6,88.3,94.9,2.3,3.3,12.8,6,5.8,1,0.5,9.6,6.5,97.7,98.9,0.1,18.9,2.1,0.9,21.7,10.6
LIONSTONE CARE,611,24,1,0,1,1,4.2,100,0,0,2.5,2.4,1.7,4.4,3.3,3,0.6,56.6,54.9,0.9,31,1.3,779114,32463.1,4,0.2,22.9,13.8,0.7,2,53.4,55.8,67.2,2.1,2.4,10.3,3.4,2.4,0.1,0.1,3.8,3.7,88.5,83.7,0,22.8,7.3,49.4,24.5,10.9
EVA CARE GROUP,213,9,1,1,0,1,11.1,100,0,0,3.4,2.6,4.4,4,4.4,4,0.8,37,37.1,0.6,10,1.1,559066,62118.4,4,0.4,22.8,11.1,0.7,1.1,46.2,99.3,99.1,2.4,1.4,9.2,0.7,4.9,2.4,0.9,14,11.2,99.8,99.9,0,7.8,4.1,0,12,10.9
NEURORESTORATIVE,367,5,3,0,1,1,20,100,0,0,3.8,3.4,3.2,4.8,8,7.4,2.5,46.2,44.5,0.3,5,1,179940,35988,0,0,,,,,,63.6,84.6,1.6,1.9,8,0.3,4.5,0.5,1.6,9.4,6,90.6,92,0,7.8,4.4,1.9,34,
ATRIUM CENTERS,54,26,4,0,0,2,7.7,100,0,0,3,2.7,3.4,3.7,3.4,3,0.7,47.1,42.4,0.7,12,0.5,725682,27910.8,6,0.2,22.6,13.2,1.3,3.7,51.2,76,80.9,1.8,2.2,13,2.8,5.5,2,0.8,9.1,10.1,95.9,94.9,0,10.2,6.1,3.8,17.2,10.9
STATE OF LOUISIANA DEPARTMENT OF VETERANS AFFAIRS,488,5,1,0,0,0,0,0,0,100,4.4,5,1,2,,,,,,,0,0,0,0,0,0,34.4,8.1,2.4,5.7,33.3,,78.1,0.8,1.3,3.4,3.7,29.6,0,1.7,36,29.2,,100,0,7.2,0,0,38.5,11.7
GREENCROFT COMMUNITIES,835,5,1,0,0,0,0,0,80,20,2.6,2,3.6,4.6,4.2,3.8,0.6,36.1,41.7,1,1,0.2,15646,3129.2,2,0.4,18.4,6,1.2,2.2,63.5,65,77.7,1,0.7,10.4,4.4,3.9,1.8,0.4,24.2,26.7,84.8,84.7,0,28.7,4.1,1.8,15.5,10.9
BLUEGRASS HEALTH KY,748,15,1,0,0,0,0,100,0,0,3.1,3.3,1.6,3.5,3.9,3.4,0.5,44.9,48.1,0.5,9,0.6,211968,14131.2,0,0,21.9,14.6,1.7,3.5,63.9,87.8,97.6,1.7,1.8,20.8,3.2,4.7,0.8,0.3,12.8,11.2,97.5,99.1,0,18.2,7.1,36.4,34.9,11.4
ALLIANCE HEALTH & HUMAN SERVICES,23,8,1,0,0,0,0,12.5,87.5,0,3.8,3.8,3.4,3.5,3.8,3.4,0.7,41.3,48.4,0.4,3,0.4,64611,8076.4,0,0,27.3,11.9,1.3,2.4,55.7,90.6,91.2,1.7,1.4,16.3,4,3.3,2.7,0.7,19.3,18.3,96.8,95.3,0,13.6,2.3,3.6,15.7,11.9
STONEHENGE OF UTAH,613,5,1,0,0,0,0,80,0,20,4,3.4,3.6,4.4,3.7,3.3,1.2,50,36.9,0.6,3,0.6,26528,5305.6,0,0,17.7,15.8,0.5,2.7,62.9,94.8,97.8,1,1.5,8.4,2,6.1,1.9,0.3,33.1,20.2,96.7,99.7,0,21.5,4.2,3.8,17.4,9.5
MGM HEALTHCARE,348,31,3,0,2,3,9.7,100,0,0,2.1,2.2,1.7,3.5,3.6,3,0.4,60.4,54,0.8,31,1,1577930,50901,17,0.5,25.2,13.7,0.6,1.3,50.8,42.4,48.2,2.2,2.5,16.7,2.5,4.4,0.5,0.1,7.6,8.8,83.3,66.9,0,17.6,2.7,32.7,24.2,10.8
CADIA HEALTHCARE,96,5,1,0,1,0,0,100,0,0,2.8,2.2,3.8,4.4,4,3.6,0.8,47.1,43.3,0.4,8,1.6,189730,37946,1,0.2,24.4,10.2,0.2,2,56.7,72.4,97.4,2,1.4,7.1,3.1,3.1,0.8,0.3,12,12.9,94.1,99.8,0,16.1,4.6,2.5,27.2,10.1
ARISTACARE,45,9,2,0,0,2,22.2,100,0,0,2.8,2,2.1,4.4,3.7,3.4,0.5,43.6,53.8,0.3,6,0.7,274218,30468.7,0,0,24.4,6.3,1.9,1.9,65.3,63.6,46.2,2.2,1.1,16.9,1.8,6,0.5,0.2,4,4.4,95,68.3,0.2,17.9,4.3,13.3,19.3,11.3
"OKLAHOMA NURSING HOMES, LTD.",384,7,1,0,1,2,28.6,100,0,0,2.6,2.9,2.4,2.6,4,3.8,0.4,54.7,100,0,16,2.3,190820,27260,0,0,28,14,0.8,0.7,65.6,79.1,88.3,2.8,3.8,12.8,6.3,4,1.3,2.6,18.5,18.4,94.9,99.4,0.1,23,3.9,5.1,35,11.5
FUTURE CARE/LIFEBRIDGE HEALTH,232,18,1,0,0,1,5.6,94.4,5.6,0,3.6,3.3,3.5,4.3,4,3.5,1,41.8,34.4,0.1,6,0.3,83586,4643.7,1,0.1,20.6,9.2,1,2.7,64.3,82.8,82.4,1.4,1,10.8,1.3,7.5,1.2,0.5,24.5,15,97.5,93.8,0,21.2,5.5,11.9,10.2,11.8
ALPHA HEALTHCARE MANAGEMENT,891,5,1,0,0,1,20,100,0,0,1.6,1.4,1.6,2.6,3.5,3.3,0.5,,,,16,3.2,232579,46515.8,1,0.2,28.2,12.8,1,4,45,45,70.4,1.6,1.4,22.7,2.9,4.8,1.3,1.1,22.4,24.5,93.6,93.4,0,21.8,6.3,10.5,23.4,10.4
CYPRESS HEALTHCARE GROUP,175,13,1,0,0,2,15.4,100,0,0,3.8,2.9,4,4.8,4.3,3.9,0.6,35.6,31.8,0,4,0.3,33690,2591.5,0,0,21.4,14.7,0.8,1.4,66.9,97,98.8,2.1,1.4,7.5,1.3,3.8,0.5,0.3,8.4,5.3,98.8,99.9,0,9.2,3.2,3,9.3,10.9
REHAB SELECT,444,5,1,0,0,0,0,100,0,0,3.6,3.2,3.8,3.2,4.7,3.9,0.5,53.2,46.1,0,0,0,0,0,0,0,21.1,14.1,0.9,4.6,46.3,89.4,97.1,1.8,2.1,15.4,2.4,5.5,1.6,0.9,12.4,12.7,97,99.4,0.2,4.7,5.8,1,18.5,10.4
LUTHERAN SERVICES CAROLINAS,327,9,1,0,0,1,11.1,0,100,0,4.2,3.6,4.6,2.9,4.6,4.2,0.8,40.8,32.4,0.4,9,1,150545,16727.2,0,0,25.4,10.9,0.7,4.6,51.7,82.5,87.4,1.3,1.3,15.4,4.5,5.2,3.8,1.5,29.2,24.3,94.6,91.7,0,27.8,9.2,0.9,25.3,10
BRIA HEALTH SERVICES,88,15,1,0,3,9,60,100,0,0,1.2,1.6,1.1,2.5,3.5,3,0.5,58.7,55.9,0.7,90,6,5477548,365169.9,23,1.5,28.2,14.9,4,1.4,29.6,37.6,53.6,2.6,2.6,25,2.5,5.2,0.1,0.4,5.1,6.4,75.8,81.2,0,16.7,6,94.5,16.7,10.4
