Chain,"Chain ID","Number of facilities","Number of states and territories with operations","Number of Special Focus Facilities (SFF)","Number of SFF candidates","Number of facilities with an abuse icon","Percentage of facilities with an abuse icon","Percent of facilities classified as for-profit","Percent of facilities classified as non-profit","Percent of facilities classified as government-owned","Average overall 5-star rating","Average health inspection rating","Average staffing rating","Average quality rating","Average total nurse hours per resident day","Average total weekend nurse hours per resident day","Average total Registered Nurse hours per resident day","Average total nursing staff turnover percentage","Average Registered Nurse turnover percentage","Average number of administrators who have left the nursing home","Total number of fines","Average number of fines","Total amount of fines in dollars","Average amount of fines in dollars","Total number of payment denials","Average number of payment denials","Average percentage of short-stay residents who were re-hospitalized after a nursing home admission","Average percentage of short-stay residents who have had an outpatient emergency department visit","Average percentage of short-stay residents who newly received an antipsychotic medication","Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened","Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge","Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days","Average percentage of long-stay residents who received an antipsychotic medication","Average percentage of long-stay residents experiencing one or more falls with major injury","Average percentage of long-stay residents with pressure ulcers","Average percentage of long-stay residents with a urinary tract infection","Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder","Average percentage of long-stay residents whose ability to move independently worsened","Average percentage of long-stay residents whose need for help with activities of daily living has increased","Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average percentage of long-stay residents who were physically restrained","Average percentage of long-stay residents with new or worsened bowel or bladder incontinence","Average percentage of long-stay residents who lose too much weight","Average percentage of long-stay residents who have symptoms of depression","Average percentage of long-stay residents who used antianxiety or hypnotic medication","Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF"
"STATE OF NEW YORK COMPTROLLER'S OFFICE",489,6,1,0,0,0,0,0,0,100,4.7,4.7,4.3,3.8,4.8,4.1,1.5,33.1,35,0.5,0,0,0,0,0,0,13.5,9.4,1.7,2.7,48.5,90.2,86.9,1.3,1.1,9.6,3.7,8.9,1.9,1.5,17.9,15.1,97.5,93.7,0,21.7,6.9,2.3,8.8,9.4
"STEIN LTC",490,4,2,0,0,0,0,100,0,0,3.5,3.8,2.8,3.3,4,3.4,0.2,50.1,20,0.5,1,0.3,7446,1861.5,0,0,28,21.1,0.8,0,48.2,92.7,94.2,2.3,3.1,19.2,5.1,3.1,1.2,0.5,13.4,8.4,99.3,99.7,0.1,12.7,5.7,5.3,26.6,10.3
"STELLAR HEALTH GROUP",694,7,2,1,0,1,14.3,100,0,0,2.7,2.7,2.7,3.3,4,3.4,0.7,53.6,52,1.7,12,1.7,667576,95368,1,0.1,25.4,14.2,1.6,2.9,54.6,75.6,83.1,2.1,1.8,17,4,3.4,2,1.6,17.7,17.3,93.3,93.6,0.1,23,5.6,15.8,12,10.2
"STELLAR SENIOR LIVING",491,8,2,0,0,3,37.5,100,0,0,1.9,2.1,2.3,3.3,3.2,2.8,0.7,51.4,49.7,0.3,16,2,342442,42805.25,3,0.4,18.4,13.6,2.1,2.2,49.4,77.6,76.4,0.9,1.4,24,4,3.9,1.8,0.9,22.7,21.4,95.4,95.1,0,23.4,5.7,10.9,14,10
"STERLING CARE",492,6,1,0,0,1,16.7,100,0,0,4.3,3.7,1.8,4.8,3.8,3.4,0.5,45.6,44.3,0.8,2,0.3,14230,2371.67,0,0,21.7,9.1,0.7,0.9,61.8,76.7,78.7,1.1,0.8,8.1,1.4,3.6,0.5,0,11.6,15.6,98.9,96.9,0,30.2,4.4,20.1,11.1,13.6
"STERN CONSULTANTS",661,22,3,0,0,0,0,100,0,0,2.6,2.5,2.1,3.7,3.7,3.1,0.6,46.4,46.7,0.7,26,1.2,1539485,69976.59,7,0.3,24.3,13.3,0.7,2.1,47.7,73.7,77.8,1.9,2.2,18.5,3.2,3.3,0.7,0.6,11.9,10.2,93.1,90.5,0.1,23.2,9.4,32.5,24.6,11.2
"STONEBRIDGE SENIOR LIVING",494,12,1,0,0,1,8.3,100,0,0,2.7,3.2,1.9,2.5,3.5,3,0.5,59,41.6,0.8,5,0.4,79238,6603.17,0,0,23.5,13.1,3.9,4.5,55.8,59.1,59.9,1.9,2,20.1,5.5,7.3,2.9,0.9,22.1,22.4,91.9,85.2,0.1,20.6,10.8,18,18.4,10.6
"STONEGATE SENIOR LIVING",495,24,2,0,2,4,16.7,58.3,37.5,4.2,2.4,2.2,2.3,4,3.4,2.9,0.3,54.4,49.3,0.3,32,1.3,1166652,48610.5,2,0.1,26.8,13.7,1,2,54.4,85.7,84.8,2.1,2.4,10.5,3.3,5.2,0.5,0.6,8.9,8,98.6,96.8,0.1,11,2.1,1.2,19.5,11.4
"STONEHENGE OF UTAH",613,7,1,0,0,0,0,85.7,0,14.3,4.7,4.3,4.4,4.1,4.5,3.9,1.4,41.9,29.1,0,3,0.4,26528,3789.71,0,0,17.3,13.8,0.4,3.2,56.6,96,97.9,1.3,1.4,7.9,1.8,5.3,2.3,1.1,33.1,20.4,96.7,100,0,24.5,5.1,2.3,17.9,9.1
"SUMMIT HEALTHCARE CONSULTING",796,9,1,0,0,2,22.2,100,0,0,2.9,3.6,1.3,3,3.1,2.7,0.4,37.4,42.5,0.8,7,0.8,163427,18158.56,1,0.1,22.7,14.8,2.4,4,38.5,76.9,80.5,1.7,3.5,15.1,5,5.2,0.6,0.5,13.9,10,96.4,97.4,0.2,27.3,8.2,40.2,18.6,11.4
"SUMMIT LTC",496,9,1,0,0,0,0,88.9,0,11.1,2,2.6,1.1,3.2,3.1,2.8,0.2,64.2,85.7,0.4,15,1.7,648564,72062.67,2,0.2,23.4,15.3,2.2,1,44.1,82,84.8,1.9,2.5,15.3,2.1,3.1,0.5,0,15,18.4,98.5,96.5,0.3,10.1,1.6,0.4,16.5,10.8
"SUMMITT CARE II, INC.",497,9,1,0,0,3,33.3,100,0,0,3.2,2.6,2.8,4.4,3.9,3.5,0.6,44.7,56.5,0.9,13,1.4,103138,11459.78,0,0,27.9,10,1.1,1.6,64.4,97.2,98.2,1.9,1.4,5.6,2.7,4.7,0.2,0.2,10.8,5.5,100,99.9,0,8.2,8.1,1.8,12.2,11.1
"SUNRISE SENIOR LIVING",498,6,4,0,0,1,16.7,100,0,0,4.2,3.2,3.7,4.8,5.4,4.9,1,42.3,48.9,1.3,1,0.2,33374,5562.33,1,0.2,22.8,8.1,1.6,1.8,62.5,87.4,89.8,1.7,0.7,11.7,2,8.9,2.4,3.3,19.7,14.7,96.6,96.1,0,18.5,2,0,18.5,11.5
"SUNTERRA SPRINGS",499,4,2,0,0,0,0,100,0,0,2.8,2.5,3,4.3,4.3,3.7,1,66,54,0.5,17,4.3,172991,43247.75,2,0.5,27.3,12.4,0.8,1.8,72.7,80.5,87.2,"","","","","","","","","","","","","","","","",10.3
"SWAN HEALTH",797,2,2,0,0,1,50,100,0,0,2,2.5,1,3,5,4.6,0.9,100,100,"",2,1,72472,36236,1,0.5,29.5,12,2.1,0,58.6,81.8,92,1.8,1.8,10.3,1.8,7.9,0.8,8.2,29.8,17.2,95.8,99.6,0,12,2.6,5,41.3,11.1
"SWEETWATER CARE",500,9,3,0,1,0,0,100,0,0,2.8,2.3,2.4,3.8,3.3,2.9,0.6,57.8,50.7,0.8,24,2.7,911860,101317.78,3,0.3,21.7,16.6,2.3,4.2,60.6,68.2,73.5,1.5,2.8,23.6,3,4.5,0.5,0.4,7.9,8.3,96.9,92.3,0,17.3,5.2,9,16.9,10.6
"SYMPHONY CARE NETWORK",501,7,2,0,0,1,14.3,100,0,0,1.9,1.9,2.6,3.9,3.7,3.2,0.8,53.7,45.1,0.9,12,1.7,527145,75306.43,5,0.7,26.8,11.6,1,1.8,55.8,82.6,88,1.6,1.3,18.4,4.3,5.3,0.9,0.2,13.1,10.1,95.4,97.3,0,21.5,4.2,4.7,18.6,10.5
"SYNERGY SENIOR CARE",502,5,1,0,0,0,0,100,0,0,2.4,2.2,3.8,2.6,4.3,3.8,1.1,49.6,48.8,0.8,6,1.2,227631,45526.2,3,0.6,25.9,23.5,1.7,0.2,57.8,84.1,90.1,1.3,3.7,11.2,2.4,7.3,3.9,4.8,21.8,16.7,92.9,98.9,0,25.7,5.1,4.5,18.5,10.9
"TENNESSEE STATE VETERANS' HOME",704,5,1,0,0,1,20,20,0,80,3.6,3.6,3.6,2.4,4.8,4.1,0.6,46.5,38.6,0.7,1,0.2,193155,38631,1,0.2,20.2,11.4,3.8,1.6,35.2,87.8,83.7,1.1,1.1,17.2,5.4,4.3,4.1,1.2,25.5,19.1,98.6,97.6,0.2,25,5.7,3.5,21.4,10.6
TEXVET,503,9,1,0,0,1,11.1,55.6,0,44.4,3.7,2.9,3.2,4.6,3.8,3.3,0.5,45.2,54.4,0.9,11,1.2,551393,61265.89,1,0.1,25.8,9.6,5.6,1.4,55.1,69.3,70.5,1.3,1.4,9.7,4.1,2.6,0.5,0.6,14.7,16.3,97.5,91.7,0,20.8,3.1,0.5,15.9,10.4
"THE ALDEN NETWORK",504,27,2,0,0,5,18.5,100,0,0,2.4,3,1.3,3.6,3.4,3,0.8,"","","",48,1.8,2158288,79936.59,13,0.5,27.2,12.5,2,2.6,64.2,61.9,56.6,2,1.6,16.7,2.5,5.2,1.9,0.6,8.9,8.5,90.5,85,0,24,6,22.7,15.9,10.4
"THE BEEBE FAMILY",779,48,2,0,1,3,6.3,100,0,0,2.6,3.1,3.1,1.8,3.9,3.2,0.4,50.7,33.4,0.2,38,0.8,743910,15498.13,3,0.1,27.4,13.7,2.8,3.8,47.7,82.7,88.1,2.6,2.8,23,3.7,6.7,3.5,1.7,22.5,19.8,96.8,93.3,0.1,23.3,5,1.1,22.4,11.3
"THE BLOSSOMS REHAB & NURSING CENTER",505,23,1,0,0,1,4.3,100,0,0,2.8,2.8,2.2,3.3,3.4,3,0.3,57.7,56.4,0.5,6,0.3,93532,4066.61,0,0,24.7,17.7,1.8,4.5,57.3,77.2,78.9,2.1,2.8,21.3,2.8,6,0.9,0.6,9,9.3,95.5,94.3,0,13.4,7.2,0.4,25.2,11.2
"THE CHARLY BELLO FAMILY, THE MAZE FAMILY, THE SWAIN FAMILY, & WALTER MYERS",803,18,3,1,4,8,44.4,100,0,0,1.6,1.8,1.8,3.3,3,2.6,0.6,62.2,64.3,1.7,40,2.2,1135425,63079.17,3,0.2,22.2,15.3,1.2,2.6,62.4,78.2,79.1,1.6,2.2,23.3,3.8,4.5,1.4,0.7,19.1,17.2,94.9,91.9,0.1,20.4,5.1,8.9,15.1,10.7
"THE CHRISTIAN AND MISSIONARY ALLIANCE",717,2,2,0,0,0,0,0,100,0,4,3,4.5,3.5,6.2,5.5,1.3,39.3,42.7,1,1,0.5,32139,16069.5,0,0,25.8,13.4,1.7,1.2,35,94.6,99.7,1.6,1.2,9.1,2.1,2.9,2.2,1.1,18.4,10.1,98.9,99.5,0,8.8,1.7,1,14.4,9.7
"THE ENSIGN GROUP",507,329,17,1,7,28,8.5,92.1,0.6,7.3,3.2,2.9,2.7,4.3,3.8,3.3,0.6,46.6,43.1,0.3,293,0.9,7747786,23549.5,25,0.1,22.2,10.7,1.1,1.7,59,87.9,91.6,1.8,1.4,11.2,2.2,4.1,0.9,0.5,16.5,14.6,95.9,96.9,0.1,20.9,4.3,9.4,17.9,10.6
"THE GOODMAN GROUP",508,10,5,0,0,0,0,90,10,0,3,2.7,3.8,3.7,4.1,3.7,1,53,46.3,0.7,9,0.9,105878,10587.8,1,0.1,24.7,14.3,1.3,2.8,61.7,89.2,95.2,2,2.2,15.6,1.3,6.7,1.2,1.5,20.8,15.6,96.5,98.2,0,24.7,7.4,4.9,16.5,10.1
"THE GRAND HEALTHCARE",509,16,1,0,3,2,12.5,100,0,0,1.8,1.9,1.9,2.5,3.2,2.7,0.5,37.8,48.9,0.3,13,0.8,540657,33791.06,3,0.2,24.4,12.9,2.5,3.5,50.8,61.8,58,2,2.1,24.5,3.1,7,1.1,0.9,13.3,15.3,94.5,83.1,0,22.4,5.6,19.6,14.7,10.1
"THE LOFT REHABILITATION AND NURSING",322,7,1,0,1,4,57.1,100,0,0,1.9,1.9,1.4,2.7,3.4,3,0.5,52.8,40.7,1,13,1.9,1049765,149966.43,11,1.6,27.9,12.4,1.3,2.9,50.5,65.3,72.7,2.4,2.1,11.6,3.4,4.2,1.3,1,24.5,20.5,93.4,87.5,0,26.5,6.6,17.8,16.9,11
"THE MANDELBAUM FAMILY",798,15,1,0,0,1,6.7,100,0,0,3.5,3,3.3,4.5,4.9,4.4,0.6,31.7,33.9,0.6,9,0.6,222307,14820.47,3,0.2,24,7.4,1.8,0.8,63,97.5,99.2,2.3,0.9,20.3,1.1,5.5,1.3,1.3,10.1,12.4,99.4,99.9,0.9,7.2,3.9,2.4,16.2,12.1
"THE MAYER FAMILY",780,11,3,0,0,1,9.1,100,0,0,3.3,2.9,3.5,3.9,3.9,3.3,0.6,41.2,44.8,0.4,4,0.4,320144,29104,0,0,19.1,8.7,1.3,2.3,57.1,83.6,81.7,1.6,1.5,14.6,2.3,7.1,2.4,0.6,17.3,17.5,97.2,94.1,0,21.3,6.8,7.8,13.5,10.3
"THE MCGUIRE GROUP",510,6,1,0,0,0,0,100,0,0,4.2,3.5,2.5,4.8,3.6,3.1,0.4,46.2,43.4,0.2,1,0.2,7901,1316.83,0,0,23.9,9.3,0.7,1.7,57,88.9,96.1,1,0.7,15.8,2.3,7.2,0.6,0.9,13.5,12,96.5,97.5,0,12.9,3.3,3.1,13.7,11.2
"THE ORCHARDS",512,3,2,0,0,0,0,100,0,0,3.5,3.5,2,4,3.6,3.2,0.5,33.6,41,1,0,0,0,0,0,0,21.4,4.7,1.5,2.1,51.9,92.6,98.2,2.4,1.8,5.6,5.4,1.5,1.5,0,20.1,13.7,98.5,100,0,27,6.4,6.9,17.8,10.8
"THE ORCHARDS MICHIGAN",513,12,1,0,0,2,16.7,100,0,0,1.9,2.5,1,3.8,"","","","","","",12,1,279284,23273.67,3,0.3,22.9,8.7,1.8,2.3,47.5,60.4,65.6,1.6,1,20.1,2.1,5.2,1.3,0.5,20.1,16,91.4,90.7,0,22.5,7,2.1,19,11.1
"THE PAVILION GROUP",514,6,3,0,0,0,0,100,0,0,3.3,3.2,2,4.5,3.5,3.2,0.5,54.6,55.9,0.8,2,0.3,13150,2191.67,0,0,16.6,9.4,0.9,2,61.8,61.3,62.7,2.4,2.2,16,2,2.9,0.3,0.2,8.6,5,91.4,81.5,0.1,13.9,7.1,15.4,23.1,12
"THE PEPLINSKI GROUP",515,10,1,0,0,1,10,100,0,0,2.5,2.4,3.3,3.6,3.9,3.6,0.6,52.1,53.8,0.4,11,1.1,287227,28722.7,6,0.6,23.5,12,1,3.1,44.1,90.4,90.1,1.5,1.6,17.8,2.6,5.2,3,1.1,18.4,11.7,99.6,99.1,0,23.6,10.7,1.2,23.3,11.2
"THE ROSENBERG FAMILY",685,10,3,1,0,0,0,100,0,0,2.7,2.1,3.9,4,3.7,3.3,0.5,42.7,36.9,0.1,9,0.9,631984,63198.4,1,0.1,25.9,10.5,1.5,2.9,56.5,78.5,80,2.3,1.4,14.5,2.5,4.3,0.9,0.4,6.1,9,94.7,92.5,0.1,15.6,4.8,14.5,22.9,11.1
"THE SHERMAN FAMILY",781,7,2,0,1,1,14.3,100,0,0,2.3,2.3,1.7,4,3.2,2.9,0.4,45.2,46,0.6,4,0.6,393012,56144.57,0,0,22.8,9.8,1.3,2.1,58.9,82.2,83.4,2.2,1,9.8,2.2,5.8,1.1,0.7,16.8,13.8,94.5,96.8,0,16.1,5.6,19.1,9.9,10.7
"THE SPRINGS ARKANSAS",516,26,1,0,0,1,3.8,100,0,0,3.5,3.2,2.9,4,3.9,3.3,0.4,54.1,53.6,0.4,7,0.3,113492,4365.08,1,0,23.8,12.3,1.4,3.4,59.4,81.1,88.8,1.6,1.7,15.3,2.9,4.7,0.1,0.2,7.7,8.4,95.3,96.8,0.1,13.4,4.3,1,21.6,11.2
"THE WELLBRIDGE GROUP",517,8,1,0,0,1,12.5,100,0,0,2.8,2.5,3.8,4,4,3.6,0.7,50.9,41.5,0,6,0.8,277461,34682.63,0,0,27.8,10,0.6,1.7,56.2,86.3,87.4,2.3,1.6,13.5,5.2,3.1,2.6,0.1,11.1,11.5,99.6,98.9,0,6.9,5.9,1.4,19,11.3
"TLC MANAGEMENT",520,20,3,0,0,0,0,60,35,5,4,3.3,2.7,4.7,3.8,3.3,0.6,44.2,33.9,0.2,2,0.1,19533,976.65,0,0,24.9,9,0.9,2.9,70.9,81,82.9,1.6,1.3,11.1,3.4,4.7,0.8,0.7,13,9.6,98.1,96.4,0,25.2,6.4,10.9,20.3,10.6
"TOUCHSTONE COMMUNITIES",521,28,1,0,0,0,0,85.7,0,14.3,2.8,2.9,1.7,4,3.3,2.9,0.4,50.1,48.8,0.3,39,1.4,883310,31546.79,3,0.1,26.1,12.1,0.5,1.7,48.8,78.5,88.8,2.3,2.1,7.3,2.8,3.2,0.3,0.1,9.5,13.4,96.1,95,0,13.3,1.8,0.9,13.5,11.1
"TRANSITIONS HEALTHCARE",627,6,1,0,0,0,0,100,0,0,2.3,2.5,2.8,3.2,3.7,3.3,0.5,50.3,39,1,4,0.7,401246,66874.33,0,0,23.9,9,1.2,2.5,48.7,61.2,74.1,1.4,1,25.9,2.7,6.6,1.3,1.3,24.6,20.9,93.4,90.3,0,22.8,7.2,1.3,20.5,10.5
"TRAYLOR PORTER HEALTHCARE",782,5,1,0,0,0,0,100,0,0,2.6,2,4,4,4.5,3.7,0.6,50.5,38.8,0,0,0,0,0,0,0,20.9,10.8,1.2,2.4,49.3,90.7,88.2,1.6,1,18.6,3.5,3.4,3.9,1.7,16.2,17.5,99.2,95.8,0.2,24.5,7,0.8,26.3,9.9
"TREND CONSULTANTS",522,16,1,0,0,0,0,100,0,0,3.3,3.3,3.8,2,4.6,3.7,0.5,40.2,39.9,0.5,18,1.1,182990,11436.88,3,0.2,24.5,17.3,2.7,3,64.4,80.3,90.3,2.7,3.6,26.5,4.2,6.8,3.9,1.7,20.1,20.4,97.8,96.8,0.4,22,7.1,0.3,26.2,11
"TRILOGY HEALTH SERVICES",524,125,5,0,0,0,0,84,4,12,4,3.4,3.2,4.8,4,3.5,0.9,41.6,35.1,0.4,27,0.2,448336,3586.69,3,0,23.4,10.7,0.8,1.1,68.6,89.9,92.3,1.7,1.6,9.9,3.6,2.5,0.3,0.2,10,8.3,96.3,95.8,0,23,4.9,11.8,22.5,11.3
"TRINITY HEALTH",525,20,8,0,0,3,15,5,95,0,3.4,3.1,4.1,3.6,4.6,4.1,1.2,42.8,41.4,0.4,1,0.1,97383,4869.15,3,0.2,24.7,11.2,1.6,3.4,47.1,93.3,95.4,1.5,1.4,16.2,3.7,5.4,2.1,1.3,19.9,16.8,95.5,97.6,0,22.8,4.6,0.7,17.3,10.9
"TRINITY MANAGEMENT, INC.",527,5,1,0,0,0,0,100,0,0,3.8,3.4,4.4,3.4,4,3.5,0.7,38.1,34.8,0.2,0,0,0,0,0,0,30.4,10.5,1.9,0,51.7,88,85.7,2.2,2.8,20.2,2.9,3.6,1.4,0.6,11.6,8.9,99.5,99.1,0,10,2.9,0.9,34,11.4
"TRIO HEALTHCARE",528,9,1,0,0,0,0,100,0,0,1.2,1.6,1.2,2.9,3.3,3,0.4,72.1,74.8,1.9,10,1.1,374462,41606.89,0,0,22.2,13.4,1.9,1.6,43.5,75.2,71.5,1.5,1.7,14.1,4,4.2,0.5,0.7,25.9,27.7,97.4,96,0,26.9,5.8,14.5,22.8,10.8
"TUTERA SENIOR LIVING & HEALTH CARE",531,25,4,0,0,8,32,92,8,0,2.2,2.3,1.9,2.9,3.5,3.1,0.5,55.9,50,0.4,61,2.4,2219648,88785.92,15,0.6,25.9,14.3,1.9,2.4,53.3,67.6,68.7,2.3,2.5,17.3,4.9,6.6,1.6,0.6,19.3,14.8,93.6,88.4,0.1,23.2,7.5,12.9,23.3,11.3
"TWIN RIVERS HEALTH & REHABILITATION",532,11,2,0,0,0,0,36.4,54.5,9.1,3.6,3.7,2.9,3.1,3.8,3.3,0.6,44.7,37.5,0.4,1,0.1,34140,3103.64,0,0,20.6,11.5,2.7,2.5,52.2,93.4,95.9,1.6,1.8,17.1,5.9,4.2,3.5,0.3,19.7,18.4,96.6,97.9,0,21.6,7.2,15.3,29.9,10.4
"UNITED CHURCH HOMES",533,6,1,0,0,0,0,0,100,0,3.3,2.7,2.7,4.7,3.8,3.4,0.5,49,49.9,0,4,0.7,226728,37788,2,0.3,19.4,8.8,1.3,1.3,48.7,85.2,81.1,1.5,1.8,9.7,4.4,3.5,0.4,0.2,9.5,7.2,97.7,96.1,0,25.1,6.7,5.7,23.6,10.7
"UNITED METHODIST HOMES",534,2,2,0,0,0,0,0,100,0,1.5,2,1,3.5,2.2,1.9,0.3,52.8,43,1,2,1,159646,79823,0,0,22.1,11.2,0.5,0,58.5,77.5,77.4,1.9,1.3,12.5,4.7,4.7,2.2,1,27.7,22.3,92.9,88,0,33.8,4,0.3,11.1,9.8
"UNIVERSITY OF VERMONT HEALTH NETWORK",535,3,2,0,0,2,66.7,0,100,0,2.3,2.7,3,3,4.3,3.8,1,49.1,28.3,2,1,0.3,33005,11001.67,1,0.3,23,13.6,0.9,3.7,55.5,89.6,75.2,1.4,1.2,32.3,3.8,7.5,6.6,5.5,17.3,20.3,99.7,68.5,2.5,26.9,7,3.9,15.7,9.3
"UNLIMITED DEVELOPMENT, INC.",536,10,2,0,0,3,30,10,90,0,2.8,2.9,3.1,2.5,4.3,3.7,0.6,43.8,40,0.3,9,0.9,375721,37572.1,5,0.5,25.3,16.2,0.9,4,52.4,78.3,88.7,1.8,2.5,16.4,5.4,4.3,3.8,0.6,29.2,27.1,90.4,98.5,0,22.3,5.3,5.9,19.7,12
"UPMC SENIOR COMMUNITIES",537,8,1,0,1,2,25,25,75,0,3,2.5,3.9,4,5.1,4.5,1.8,49.8,46.7,0.6,3,0.4,69136,8642,0,0,22.3,7.8,0.7,3.9,57.8,81.6,85.3,1.3,1.4,13.3,4.2,5.7,1.8,0.4,22.7,19.5,97.9,90.7,0,27.2,5.8,3.1,17.6,11
"UPSTATE SERVICES GROUP",538,17,1,1,0,2,11.8,100,0,0,1.9,1.9,2.4,2.9,3.5,2.8,0.5,50.8,45.2,0.4,13,0.8,729685,42922.65,1,0.1,22.4,13.3,1.2,4,52.5,75,70.4,1.8,1.9,20.2,3.9,7.2,0.9,0.8,12,13.3,95.8,89.9,0.1,25.2,5.8,5.2,15.3,10.5
"VALLEY WEST HEALTH",744,12,2,0,0,0,0,100,0,0,3.2,3.1,3.3,2.8,3.6,3.3,0.6,41.9,46.8,0.5,4,0.3,56937,4744.75,0,0,24.2,10.6,1.8,3.4,41.2,77.3,81.9,1.6,1.3,20.9,4,5.4,2.3,0.8,18.2,18.6,92.1,88.6,0,25.4,7.2,2.2,23.2,10.5
"VANCREST HEALTH CARE CENTERS",542,13,1,0,0,0,0,92.3,7.7,0,4.2,3.8,2.8,4.6,3.8,3.3,0.6,42.9,28.8,0.2,1,0.1,4233,325.62,0,0,23.7,12.9,1,2.8,64.3,90.4,95.5,1.5,2.1,7.1,3.4,2,0.5,0.2,5.6,4.3,99.1,99.3,0,23.3,5.2,40.7,24.7,10.4
"VANGUARD HEALTHCARE",543,6,1,0,0,1,16.7,100,0,0,3.3,3.2,4.2,2.8,4.3,3.5,0.7,38.6,30,0.8,6,1,143764,23960.67,2,0.3,31.5,15.1,1,4,57.9,77.9,83.3,2.3,2.7,15.6,2.6,7.3,0.5,1,16.5,15.8,94.4,97.1,0,15.3,4.8,0.7,23.4,10.4
"VANTAGE CARE",669,8,1,0,1,1,12.5,100,0,0,2.1,2.6,2.3,2.5,3.8,3.4,0.4,41.7,46.7,0.7,8,1,149261,18657.63,1,0.1,29.3,11.6,1.9,2.6,46.8,70.3,70,2,1.6,20.3,4.2,5.8,1.9,0.9,17.9,16,97.4,95,0.2,24.8,5.6,1.7,18.8,11.6
"VENTURA SERVICES FLORIDA",544,10,1,0,0,0,0,100,0,0,2.9,2.5,3.4,4.2,3.7,3.4,0.8,28.9,36.7,0.6,17,1.7,245317,24531.7,0,0,26.6,8.6,2.9,1.5,45.6,100,99.9,2.4,0.9,16.9,1.8,4.6,0,0.2,5.1,5.5,100,100,0,4.6,5,0.4,18.4,10.2
"VENZA CARE MANAGEMENT",614,21,7,0,1,2,9.5,100,0,0,2.5,2.6,3.5,2.3,4.1,3.5,0.6,53.9,49,0.5,13,0.6,626061,29812.43,1,0,25.2,13,1.8,1.8,43.5,79.5,87.5,2.3,2.1,22.5,3.9,5.7,1.9,1,22.2,19.6,92.6,92.3,0.2,20.1,5.2,2,23.1,11
"VERITAS MANAGEMENT GROUP",545,15,5,0,0,0,0,100,0,0,4.3,3.8,3.3,4.8,4.8,4.1,1,52,47.9,0.1,4,0.3,60724,4048.27,0,0,21.5,10,0.3,0.3,62.5,92.1,97.2,1.2,0.6,18.6,0,16.5,0,14,7.6,5.9,"",100,0,36.6,19.4,27,10.5,9.4
"VERTICAL HEALTH SERVICES",636,18,3,1,1,3,16.7,100,0,0,1.6,2.1,1.4,3.5,3.1,2.7,0.5,57.7,56.8,0.8,59,3.3,1833184,101843.56,9,0.5,21.7,12.4,1.7,3,38.5,65.6,66.4,1.9,1.5,25.3,2.6,5.1,0.8,0.6,11.8,9.1,91.5,90.6,0,21,3.3,57.7,24.9,10.9
"VETTER SENIOR LIVING",547,22,2,0,0,0,0,4.5,95.5,0,4.3,3.9,4.4,3.9,4.2,3.6,0.7,34.4,25.8,0.1,1,0,14017,637.14,0,0,19.7,9.6,1.2,2.7,44.3,93.2,95.3,1.4,1.5,11.9,3.4,3.7,1.5,0.6,19.3,18.5,99.3,97.6,0,26.5,3.7,1.5,16.7,9.4
"VI LIVING",548,10,6,0,0,0,0,100,0,0,4.8,4.4,5,4.6,5.4,4.9,1.6,27.5,22.6,0.1,0,0,0,0,0,0,25.3,10.2,0.5,1.8,50.7,93.8,91.8,1.7,0.9,12.9,2.7,3,2.5,0.5,16.8,13.3,98.2,98.4,0,16.8,3.4,0.8,9.3,9.8
"VIA CHRISTI VILLAGES",825,2,2,0,0,0,0,50,50,0,4.5,4.5,3.5,3.5,3.9,3.6,0.8,50.4,53.6,0,0,0,0,0,0,0,26.1,18.9,0.8,3.1,66.5,86,83.3,1.5,1.9,15.3,6,5.5,1.6,0.2,19.2,22.3,98,98.9,0,25.8,4,5.2,19.8,10.7
"VIBRA HEALTHCARE",549,3,3,0,0,0,0,100,0,0,3.3,2.7,3.7,4,4.5,3.9,1,53.8,54.9,0.5,14,4.7,166780,55593.33,0,0,21.3,8.5,3.1,0.9,63.7,89.7,95.6,1.4,1.9,18.5,5.3,3.5,0.5,0.6,22.6,16.3,87,100,0,7.7,1.7,1.2,45,10.2
"VIERRA COMMUNITIES",597,3,2,0,0,1,33.3,100,0,0,2.5,2.5,3,3.5,3.8,3.3,0.8,41.1,42.6,0.7,2,0.7,49559,16519.67,0,0,21,7,0.7,3.9,55.3,71.6,62.2,1.8,1.3,17,1.9,8.7,2,0.1,38.8,32.3,91.5,90.3,0,31.1,6.3,12,11.9,10.4
