Chain,"Chain ID","Number of facilities","Number of states and territories with operations","Number of Special Focus Facilities (SFF)","Number of SFF candidates","Number of facilities with an abuse icon","Percentage of facilities with an abuse icon","Percent of facilities classified as for-profit","Percent of facilities classified as non-profit","Percent of facilities classified as government-owned","Average overall 5-star rating","Average health inspection rating","Average staffing rating","Average quality rating","Average total nurse hours per resident day","Average total weekend nurse hours per resident day","Average total Registered Nurse hours per resident day","Average total nursing staff turnover percentage","Average Registered Nurse turnover percentage","Average number of administrators who have left the nursing home","Total number of fines","Average number of fines","Total amount of fines in dollars","Average amount of fines in dollars","Total number of payment denials","Average number of payment denials","Average percentage of short-stay residents who were re-hospitalized after a nursing home admission","Average percentage of short-stay residents who have had an outpatient emergency department visit","Average percentage of short-stay residents who newly received an antipsychotic medication","Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened","Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge","Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days","Average percentage of long-stay residents who received an antipsychotic medication","Average percentage of long-stay residents experiencing one or more falls with major injury","Average percentage of long-stay residents with pressure ulcers","Average percentage of long-stay residents with a urinary tract infection","Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder","Average percentage of long-stay residents whose ability to move independently worsened","Average percentage of long-stay residents whose need for help with activities of daily living has increased","Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine","Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine","Average percentage of long-stay residents who were physically restrained","Average percentage of long-stay residents with new or worsened bowel or bladder incontinence","Average percentage of long-stay residents who lose too much weight","Average percentage of long-stay residents who have symptoms of depression","Average percentage of long-stay residents who used antianxiety or hypnotic medication","Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF"
"RIVERS EDGE OPERATIONS",668,7,1,0,0,0,0,100,0,0,2.3,2.4,2.4,2.4,3.6,3.3,0.3,55.2,56.3,0.9,5,0.7,251962,35994.57,9,1.3,25.7,17.4,1.6,2.6,52.2,65.4,80.2,2.6,3.3,21.5,3.1,5,1.8,1.3,16.9,14,96,97.3,0,20.6,2.5,3.9,29.1,12.1
"RIVERSIDE HEALTH SYSTEM",453,6,1,0,0,0,0,0,100,0,3.5,3.3,3.3,3.7,3.7,3.3,0.8,44.1,39.1,0.4,0,0,0,0,0,0,20.7,16.3,1.7,3.3,55.6,87.5,92.7,1.5,1.5,16.2,3.8,8.7,3,1.3,19.6,11.5,97,97.5,0,25.5,5.7,1.4,17.8,10.6
"RMG CAPITAL PARTNERS",793,9,1,1,2,2,22.2,100,0,0,2.5,2.3,2.5,3.1,3.9,3.7,0.3,36.4,62.4,"",19,2.1,269309,29923.22,4,0.4,25.7,17.3,1.8,1.7,36,94.4,97.1,2.1,1.9,20.5,1.2,3.1,1,1.2,11.8,11.6,98.7,99.7,0,11.1,6.1,0.4,18,11.3
"ROBERT SCHOENFELD",716,8,1,0,1,0,0,100,0,0,3.3,3,3.5,3.9,3.8,3.5,0.5,40.9,42.6,0.4,8,1,531635,66454.38,0,0,26.2,7.7,1.6,2.1,49.3,94,92.9,2.1,1.3,9.6,2,5.2,0.5,0.1,15,10,100,99,0,14.1,5.8,2.3,13.4,11.1
"ROCHESTER REGIONAL HEALTH",454,5,1,0,0,0,0,0,100,0,4,3.6,3.6,4.4,4.3,3.7,0.6,38.5,35,0.6,1,0.2,12868,2573.6,0,0,25.2,7.8,0.3,3.4,61.1,90,81.7,1.8,1,15.4,4.5,8.1,0.9,0.2,14.1,14.9,96.8,92.8,0,14.2,6.9,3,8.6,10.4
"ROCKY MOUNTAIN CARE",455,9,2,0,0,0,0,44.4,55.6,0,3,2.3,2.8,4.4,3.7,3.3,1.1,57.7,42.8,0.8,16,1.8,309087,34343,2,0.2,18,11.3,0.7,1.2,62.2,94,98.7,1.4,1.3,10,3.5,3.7,2,1,25.8,15.7,98,99.4,0,22,3.4,11.4,21.7,10
"ROLLINS-NELSON HEALTHCARE MANAGEMENT",456,10,1,0,1,4,40,100,0,0,2.1,2,2.8,3.9,4.5,4.1,0.4,43.4,23,0.3,23,2.3,566382,56638.2,5,0.5,19.6,5.8,7.8,0,59.1,96.1,91.1,3.6,0.9,59.5,0.7,3,0.9,2.9,15.8,19.5,99.8,98,0.1,5.2,1.1,1.5,19.2,10
"ROYAL HEALTH GROUP",457,12,2,0,0,0,0,100,0,0,3.3,3.3,2.3,3.3,3.5,3.1,0.7,49.8,58,0.8,8,0.7,168071,14005.92,0,0,23.1,12.7,1.5,2.4,44.8,83.8,85,2,2,26.3,4.8,3.6,2.8,0.5,18.5,20.8,96.4,96.2,0,24.6,4.4,26.1,19,10.9
"RUBY HEALTHCARE",824,7,1,0,0,2,28.6,71.4,0,28.6,3.3,2.3,3,5,3.7,3.3,0.4,49.3,57.2,0.4,15,2.1,599917,85702.43,1,0.1,23.7,13.1,0,3.2,63.5,99.9,89.3,2.1,1.8,9.9,3.2,2.2,0.2,0,7.7,8,99.8,97.1,0,11.3,3.5,1.2,12,10.8
"RYDERS HEALTH MANAGEMENT",458,8,1,0,1,2,25,100,0,0,1.6,1.6,3.9,1.9,4.1,3.7,0.7,42.9,47.3,0.3,7,0.9,183713,22964.13,0,0,29.2,13.5,1.7,2.2,42.1,48.8,45.8,3.3,1.8,16.8,3.6,5.5,3.9,1.1,28.9,27.8,89.7,69.3,0,26.6,6.6,1.9,20,10.7
"SABA HEALTHCARE",777,11,1,0,2,7,63.6,100,0,0,1.5,1.7,1.4,2.5,2.6,2.2,0.4,45.6,39.9,0.5,37,3.4,2718334,247121.27,14,1.3,32.8,15.1,3.4,2.7,28.8,41.3,42.6,2.6,2.4,27,1.7,5.6,0.3,0.2,8.2,8.3,85.6,83.8,0,13.7,1.6,93.4,14.7,10.4
"SABER HEALTHCARE GROUP",461,126,6,1,3,15,11.9,98.4,0.8,0.8,3,2.7,2.5,4,3.5,3.1,0.6,48.9,47.7,0.6,128,1,2938614,23322.33,11,0.1,23.4,11.1,1.3,1.7,46.9,66.9,61.3,1.6,1.4,11.4,3,4.2,1.4,0.5,17.7,14.3,94.7,85.8,0,20,6.1,10.6,20.5,11
"SAINT THERESE SENIOR COMMUNITIES",624,4,3,0,0,0,0,0,100,0,4.5,4,4.5,4.3,4.7,4.1,1.5,29.6,27.7,0,0,0,0,0,2,0.5,26,9.8,1,1.9,63.4,95.3,93,1.5,0.9,12.7,2.7,3.4,1.1,0.8,26,17.9,98.8,98.4,0,27.1,6.3,5.1,8.3,11.2
"SANDSTONE HEALTHCARE GROUP",463,3,2,0,1,1,33.3,100,0,0,2,1.3,3,4.3,4.2,3.9,0.7,51.9,48.1,1.3,1,0.3,20930,6976.67,0,0,31.5,11.8,1.3,0,68.4,73.1,81.9,1.5,1.1,23.5,0.4,6.2,0.4,2.7,16.1,12.7,76.5,88.2,0,14.6,7.2,5.7,23.6,10.3
"SANFORD HEALTH GOOD SAMARITAN (PROSPERA)",464,4,3,0,0,1,25,0,100,0,2.5,2.3,4,2.8,4.2,3.6,0.9,50,54.2,0.3,4,1,78830,19707.5,1,0.3,16.5,19,0.4,0,66.9,73.7,93.6,1.8,2.4,17.4,5.2,5.4,1.8,3.1,26.2,22,96.8,97.9,0.2,23.4,5.6,4.5,15.3,9.6
"SANSTONE HEALTH & REHABILITATION",465,17,1,0,0,1,5.9,100,0,0,4.1,3.6,2.7,4.3,3.8,3.2,0.5,38.7,43.6,0.4,12,0.7,253490,14911.18,1,0.1,24.7,14.2,0.5,1.9,67.7,96.5,97.4,1.9,2,7.7,4.2,5.4,1.2,0.2,15.2,11.6,97.2,98.2,0,14.8,4,23,23,10.8
SANTE,466,5,2,0,0,0,0,100,0,0,4.4,3.6,3.8,4.8,5.2,4.4,1,45.8,48.4,0.3,2,0.4,55088,11017.6,0,0,24.4,10.2,0.6,1.8,62.9,90.5,95.8,"","","","","","","","","","",100,0,"",0,"",33.3,10.3
"SAPPHIRE CARE GROUP",590,8,1,0,0,1,12.5,100,0,0,2.4,1.8,2.1,4.6,3.5,3,0.7,40.1,40.7,0.4,3,0.4,142730,17841.25,0,0,17.1,7.2,1,2.4,73.4,85.4,86.3,1.5,1.1,12.7,2.6,7.1,0.6,0.1,12.2,14.2,96.9,93.5,0,24.1,5.8,42.3,14.4,9.9
"SAPPHIRE HEALTH SERVICES",643,8,1,0,1,4,50,100,0,0,1.8,1.8,3.4,3.3,5.5,5,0.7,98.2,80,0.8,9,1.1,284014,35501.75,0,0,25.6,13,1.8,3.4,58.6,80.6,82.3,1.7,2.5,15.1,3.1,8.5,1.4,0.9,23.5,16.8,96.4,97.7,0.7,18.8,4.4,5,12.1,10
"SEKY HOLDING CO.",468,9,1,0,0,0,0,100,0,0,2.9,3.2,4.2,1.4,4.5,4,0.8,42.8,34,0,5,0.6,118884,13209.33,2,0.2,23.8,19.1,4.9,5.1,35.9,87,91.5,2.2,4.5,26.4,3.7,9.5,3,1.4,16.9,14.9,98.8,97.4,0,20.2,8.1,4.8,36.9,11.5
"SENIOR HEALTH SOUTH",729,8,1,0,0,3,37.5,25,75,0,2,1.8,2.8,4,3.3,3.1,0.6,43.4,57.8,1.1,5,0.6,360694,45086.75,0,0,25.1,11.8,1.9,1,49.1,99.6,99.3,2.2,1.1,16.3,1.3,6.8,0.2,0.1,6.5,7.4,100,99.7,0,3.5,6.6,0.5,24.8,10.5
"SENIOR LIFESTYLE",621,2,2,0,0,0,0,100,0,0,3.5,3,4.5,4,4.3,3.9,1.5,37.9,31.6,0,2,1,42026,21013,0,0,19.9,12.5,1,6.8,55.7,86.8,91.5,2.7,0.7,10,2.5,4.1,0,1.9,26.3,15.7,91.9,96.9,0,30,4.1,1.4,6.3,9.4
"SENIOR LIVING COMMUNITIES",470,9,5,0,0,0,0,100,0,0,4.3,3.8,4.6,3.4,6.1,5.4,1.3,53.8,47.2,0.7,4,0.4,23760,2640,1,0.1,27.1,15.9,1.1,1.7,60,83.7,81.9,1.5,1.6,10.4,2.4,5.2,1.7,1.6,17.9,16.2,76.2,85.1,0,18.7,7.2,6.6,18.2,11.3
"SERRANO GROUP",659,11,1,0,2,3,27.3,100,0,0,2.3,1.6,3.2,4.6,4.4,3.9,0.5,41.7,51.4,0.8,17,1.5,734537,66776.09,13,1.2,20.3,7.2,0.5,1.4,48.4,90.7,91.6,2.8,1.1,9.2,0.9,5,1.1,0.6,7.5,7.9,96.9,98.4,0.1,14.5,4.3,10.4,12.5,10.9
"SHAFIQ MALIK",794,8,1,0,0,0,0,100,0,0,3.1,4,1.6,2.4,3.4,2.9,0.4,65,56.4,0.4,3,0.4,215900,26987.5,0,0,18.8,12.6,3.1,1.8,40.1,50.8,70.2,1.9,1.9,22.9,4.7,5.4,2.8,0.5,22.5,20.2,89.7,88.3,0,11.9,9.2,17.5,31.3,11.4
"SHIMON LEFKOWITZ",795,5,3,0,1,0,0,100,0,0,2.8,3,2.4,2.6,3.6,3.3,0.7,40.5,51.7,0.2,4,0.8,220066,44013.2,0,0,23.3,10.2,2.5,2.6,50.5,79.9,72.9,1.6,1.7,20.1,2.2,8.1,3.4,1.5,26.7,26.2,91.8,87,1.1,17.5,8.6,31,15.2,10.6
"SHLOMO HOFFMAN",713,9,2,0,1,2,22.2,100,0,0,2.4,2.6,3.1,2.7,3.9,3.4,0.7,50.7,40.8,0.3,11,1.2,812240,90248.89,7,0.8,24.3,14.8,1.9,4.2,54,76,89.4,1.9,2.4,21,3,5,2.7,1.6,21.3,20.1,92.5,98,0,26.6,6.4,25.3,24.7,10.6
"SHLOMO RECHNITZ",678,16,1,0,1,4,25,100,0,0,2.2,2.1,2.6,3.8,4.1,3.8,0.4,41.2,52.2,0.8,30,1.9,848896,53056,6,0.4,23.8,11.3,1.7,1.1,50.6,95.6,96.3,2.2,1.4,10.2,2.2,5.5,0.8,0.5,10.5,11.6,98.9,99.5,0.3,11.2,4.1,10.4,12.7,10.3
"SIGNATURE HEALTHCARE",474,71,6,1,0,6,8.5,97.2,0,2.8,3,2.8,2.6,3.8,3.7,3.1,0.7,47.3,42.4,0.8,38,0.5,1249755,17602.18,6,0.1,24.9,12.8,1.3,2.3,56.4,82.3,82.8,1.7,2.1,15.8,3.4,6.1,0.7,0.2,14.2,12.5,93.9,87.5,0,19.3,6.3,18.6,27.6,11.9
"SIMCHA HYMAN & NAFTALI ZANZIPER",580,95,8,0,2,7,7.4,98.9,0,0,2.3,2.5,2.3,3,3.4,3.1,0.5,51.5,51.1,0.6,98,1,3640283,38726.41,17,0.2,24,12.6,1.7,3.9,48.1,77.4,73.6,2.1,1.9,14,3.3,6.1,1.6,0.4,19.1,15.9,94.2,89.5,0,19,7.3,5.4,22.8,11.4
"SLP OPERATIONS",730,22,2,0,2,3,13.6,90.9,0,9.1,2.4,2.5,1.9,3.7,3.1,2.8,0.3,56.1,66.8,0.7,35,1.6,1444190,65645,8,0.4,30.1,13,2.3,4.8,49,97.9,89.5,2.4,2.2,13,3.6,4.9,0.4,0.1,18.6,16,98.7,97.9,0,13,1.8,1.5,21.5,11.4
"SMP HEALTH",476,5,1,0,0,0,0,0,100,0,4.8,4.4,4.8,2.2,5,4.3,0.8,35.5,27.1,0,3,0.6,22992,4598.4,0,0,22,9.8,1.7,3.1,49.3,95.9,94.4,1.4,1.7,26.6,6.3,5.3,3.3,0.9,19.6,20.4,100,99.6,0,26.4,5.4,2.8,20.1,9.3
"SOL HEALTHCARE",817,8,1,0,0,2,25,100,0,0,2.6,2.4,3.3,3.6,4.4,4,0.8,44.1,51.6,0.8,7,0.9,65820,8227.5,1,0.1,22.4,15.9,0.9,3.1,52.2,94.5,96.7,2,2.3,9.3,1.7,7.4,1,0.6,10.3,8.5,98.2,99.3,0,10,4.3,9.6,7.4,10.6
"SOLARIS HEALTHCARE",477,22,1,0,0,1,4.5,50,50,0,3.8,3.3,3.5,4.5,3.8,3.4,0.7,35.5,32,0.4,15,0.7,360877,16403.5,0,0,26,9.2,1,1.5,53.9,96.9,97.2,2.2,1,7.9,2.4,4.2,0.9,0.2,12.6,9,100,99.3,0,10.1,4,3.3,11.5,11.9
