Chain,Chain ID,Number of facilities,Number of states and territories with operations,Number of Special Focus Facilities (SFF),Number of SFF candidates,Number of facilities with an abuse icon,Percentage of facilities with an abuse icon,Percent of facilities classified as for-profit,Percent of facilities classified as non-profit,Percent of facilities classified as government-owned,Average overall 5-star rating,Average health inspection rating,Average staffing rating,Average quality rating,Average total nurse hours per resident day,Average total weekend nurse hours per resident day,Average total Registered Nurse hours per resident day,Average total nursing staff turnover percentage,Average Registered Nurse turnover percentage,Average number of administrators who have left the nursing home,Total number of fines,Average number of fines,Total amount of fines in dollars,Average amount of fines in dollars,Total number of payment denials,Average number of payment denials,Average percentage of short-stay residents who were re-hospitalized after a nursing home admission,Average percentage of short-stay residents who have had an outpatient emergency department visit,Average percentage of short-stay residents who newly received an antipsychotic medication,Average percentage of short-stay residents with pressure ulcers or pressure injuries that are new or worsened,Average percentage of short-stay residents who are at or above an expected ability to care for themselves and move around at discharge ,Average percentage of short-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of short-stay residents who were assessed and appropriately given the  pneumococcal vaccine,"Average number of hospitalizations per 1,000 long-stay resident days","Average number of outpatient emergency department visits per 1,000 long-stay resident days",Average percentage of long-stay residents who received an antipsychotic medication,Average percentage of long-stay residents experiencing one or more falls with major injury,Average percentage of long-stay residents with pressure ulcers,Average percentage of long-stay residents with a urinary tract infection,Average percentage of long-stay residents who have or had a catheter inserted and left in their bladder,Average percentage of long-stay residents whose ability to move independently worsened,Average percentage of long-stay residents whose need for help with activities of daily living has increased,Average percentage of long-stay residents who were assessed and appropriately given the seasonal influenza vaccine,Average percentage of long-stay residents who were assessed and appropriately given the  pneumococcal vaccine,Average percentage of long-stay residents who were physically restrained,Average percentage of long-stay residents with new or worsened bowel or bladder incontinence,Average percentage of long-stay residents who lose too much weight,Average percentage of long-stay residents who have symptoms of depression,Average percentage of long-stay residents who used antianxiety or hypnotic medication,Average rate of potentially preventable hospital readmissions 30 days after discharge from a SNF
ARISTACARE,45,9,2,0,0,0,0.00,100.0,0.0,0.0,2.2,1.9,1.9,4.0,3.7,3.4,0.5,45.1,54.6,0.9,11,1.2,626646.00,69627.33,0,0.0,24.9,9.5,1.7,2.1,58.7,63.6,55.1,2.59,1.11,14.8,1.9,7.3,0.5,0.3,6.6,5.5,95.0,66.1,0.8,16.3,3.8,15.2,16.8,11.3
"OKLAHOMA NURSING HOMES, LTD.",384,7,1,0,0,2,28.57,100.0,0.0,0.0,2.6,2.7,3.0,2.4,4.2,3.8,0.4,40.5,56.0,1.0,26,3.7,249857.00,35693.86,0,0.0,29.5,15.8,2.2,4.8,60.7,79.1,80.1,2.30,2.95,9.3,7.5,3.6,1.7,2.9,22.1,21.7,94.9,97.4,0.0,23.0,4.8,4.8,35.0,11.5
CYPRESS HEALTHCARE GROUP,175,12,1,0,0,1,8.33,100.0,0.0,0.0,3.2,2.8,3.7,4.3,4.4,3.9,0.6,41.1,41.6,0.2,9,0.8,44355.00,3696.25,0,0.0,23.9,14.9,0.8,1.4,54.9,97.0,98.1,2.01,1.71,6.9,1.6,5.4,0.9,0.8,12.7,7.5,98.7,99.8,0.0,13.8,3.7,1.6,8.5,11.1
REHAB SELECT,444,5,1,0,0,0,0.00,100.0,0.0,0.0,2.8,3.0,3.6,2.8,4.7,3.9,0.5,51.9,47.0,0.6,0,0.0,0.00,0.00,0,0.0,25.9,15.0,0.8,2.7,55.2,89.4,93.0,1.84,2.60,17.3,3.2,6.4,2.6,1.1,16.1,12.5,97.0,98.8,0.1,6.5,4.8,1.2,21.0,10.4
EMPRES OPERATED BY EVERGREEN,665,42,6,0,4,7,16.67,100.0,0.0,0.0,2.4,2.4,3.3,3.0,3.9,3.4,0.7,53.3,44.3,0.4,78,1.9,2078370.00,49485.00,3,0.1,20.5,13.4,1.9,2.6,50.1,71.4,77.3,1.58,2.10,19.4,3.9,4.2,1.5,1.6,26.1,16.9,91.7,94.7,0.0,23.4,5.1,4.7,16.6,10.2
BRIA HEALTH SERVICES,88,15,1,0,3,11,73.33,100.0,0.0,0.0,1.3,1.5,1.1,2.9,3.6,3.0,0.5,56.2,57.9,1.1,74,4.9,4735642.00,315709.47,24,1.6,28.8,15.9,3.3,2.0,32.3,37.6,50.6,2.33,2.55,12.9,2.3,5.3,0.2,0.5,7.5,6.1,75.8,76.4,0.1,17.8,6.8,95.1,17.0,10.4
PHOENIX SENIOR LIVING,402,2,2,0,0,0,0.00,100.0,0.0,0.0,2.0,2.0,2.5,3.5,3.9,3.5,0.7,52.5,77.8,0.0,3,1.5,35858.00,17929.00,1,0.5,21.9,11.5,1.7,2.0,59.9,84.4,91.8,1.49,2.32,15.9,6.4,5.5,2.6,3.1,23.1,16.0,93.8,95.2,0.0,19.5,8.4,3.8,25.3,11.3
LUTHERAN SERVICES CAROLINAS,327,9,1,0,0,1,11.11,0.0,100.0,0.0,3.9,3.8,3.7,2.7,4.7,4.1,0.7,38.7,27.3,0.0,7,0.8,77017.00,8557.44,0,0.0,24.6,12.5,0.7,5.0,55.1,82.5,83.3,1.39,1.01,15.5,5.1,6.4,4.3,2.7,35.5,24.6,94.6,90.5,0.1,29.5,8.8,0.9,25.8,10.0
INFINITE CARE,578,19,3,0,0,3,15.79,100.0,0.0,0.0,3.1,2.5,2.9,4.4,3.6,3.2,0.7,41.9,45.2,0.6,11,0.6,666513.00,35079.63,0,0.0,26.4,9.6,1.0,1.8,59.5,82.3,79.8,2.00,1.38,5.9,2.6,5.4,0.3,0.3,10.0,7.1,97.4,92.3,0.0,11.4,7.6,12.8,12.0,11.7
CENTENNIAL HEALTHCARE,750,7,1,0,0,3,42.86,100.0,0.0,0.0,3.1,2.9,1.7,4.6,3.2,2.8,0.7,42.1,40.8,0.4,6,0.9,91871.00,13124.43,0,0.0,15.8,16.8,0.3,1.1,69.9,86.1,93.3,1.09,3.14,18.8,5.9,2.1,0.7,0.5,8.9,9.5,97.4,97.9,0.5,16.6,2.5,40.8,21.7,10.2
AYDEN HEALTHCARE,63,11,1,0,0,0,0.00,100.0,0.0,0.0,2.5,2.1,1.7,4.7,3.4,2.9,0.4,49.6,50.1,0.8,15,1.4,328511.00,29864.64,1,0.1,18.6,14.1,0.5,1.6,48.6,63.6,71.3,1.82,2.60,6.3,2.4,3.5,0.2,0.1,5.2,3.3,89.1,93.7,0.0,21.4,6.9,25.8,26.6,11.0
EDURO HEALTHCARE,193,35,8,0,3,7,20.00,82.9,0.0,17.1,2.5,2.5,2.0,3.3,3.1,2.7,0.5,55.4,53.2,0.7,75,2.1,2950410.00,84297.43,13,0.4,21.5,13.2,2.1,3.5,46.9,83.3,86.0,1.84,2.08,12.9,3.7,4.9,2.2,1.0,17.7,17.8,94.8,96.8,0.0,19.3,5.7,3.6,27.3,10.1
AMERICAN HEALTH FOUNDATION,31,6,2,0,0,1,16.67,0.0,100.0,0.0,2.5,2.5,2.7,2.5,3.6,3.2,0.7,64.1,54.0,0.2,7,1.2,382341.00,63723.50,1,0.2,26.2,13.0,2.4,2.7,39.7,62.9,64.4,1.61,1.35,10.8,3.0,3.6,1.3,0.7,24.8,15.2,91.1,86.8,0.0,23.8,4.3,6.5,21.6,10.6
GENERATIONS HEALTHCARE,236,33,4,0,0,7,21.21,100.0,0.0,0.0,3.7,3.2,3.5,4.2,4.2,3.7,0.7,39.2,43.6,0.3,30,0.9,1334832.00,40449.45,10,0.3,23.4,12.9,1.3,1.1,48.8,95.1,96.3,2.00,2.01,10.7,2.6,4.2,1.0,1.1,11.7,8.7,98.6,98.8,0.0,12.8,4.9,11.9,14.7,10.6
PARADIGM SENIOR MANAGEMENT,623,6,1,0,0,0,0.00,100.0,0.0,0.0,3.0,4.5,1.0,2.0,3.2,2.8,0.4,60.0,62.5,0.5,1,0.2,5283.00,880.50,0,0.0,27.2,20.4,7.6,1.6,64.4,19.2,21.7,1.88,3.44,34.8,6.7,5.4,5.0,1.5,23.7,20.4,74.4,62.2,0.0,9.3,10.8,8.7,20.9,11.2
THE PEPLINSKI GROUP,515,10,1,0,0,1,10.00,100.0,0.0,0.0,2.6,2.6,3.4,3.4,4.0,3.6,0.6,51.2,48.6,0.8,13,1.3,328967.00,32896.70,7,0.7,24.8,12.0,1.1,2.2,49.6,90.4,89.8,1.64,1.38,18.3,3.4,5.2,2.3,1.1,20.0,13.1,99.6,99.2,0.0,24.3,10.8,1.1,23.8,11.2
RELIABLE HEALTH CARE MANAGEMENT,728,5,1,0,0,0,0.00,100.0,0.0,0.0,3.2,3.8,1.8,3.4,3.2,2.8,0.4,44.8,33.0,0.0,3,0.6,18052.00,3610.40,0,0.0,20.0,7.5,3.1,1.8,45.1,87.2,94.1,2.45,1.02,16.8,4.3,3.7,3.0,0.9,20.4,21.1,99.3,98.9,0.0,21.9,5.8,4.5,27.9,10.2
CARMELITE SISTERS FOR THE AGED AND INFIRMED,115,3,2,0,0,0,0.00,0.0,100.0,0.0,3.7,3.7,3.7,3.7,4.4,4.0,0.8,49.5,48.5,0.0,2,0.7,52354.00,17451.33,0,0.0,26.0,9.8,0.6,2.9,58.1,85.4,73.8,1.62,1.36,14.0,4.1,4.5,3.3,0.4,20.1,18.3,98.2,85.3,0.0,24.2,8.8,8.8,11.0,10.8
COVENANT LIVING,168,15,10,0,0,0,0.00,6.7,93.3,0.0,4.5,4.0,4.4,3.5,4.5,4.1,1.1,34.9,35.3,0.5,6,0.4,293323.00,19554.87,1,0.1,22.1,11.5,1.0,1.9,50.5,88.3,91.6,1.52,1.21,11.8,3.5,5.3,2.6,1.3,25.8,21.0,94.3,96.6,0.0,21.4,5.9,2.5,11.1,10.6
"WISCONSIN ILLINOIS SENIOR HOUSING, INC.",569,7,2,0,0,1,14.29,0.0,100.0,0.0,1.9,1.9,3.6,3.4,4.6,3.9,0.9,61.8,56.6,1.2,12,1.7,658655.00,94093.57,2,0.3,22.6,17.7,1.0,2.5,49.5,83.2,90.4,1.42,1.70,16.0,2.4,6.5,4.8,2.8,21.6,13.2,94.2,96.5,0.0,19.7,4.6,6.3,11.3,11.9
ROYAL HEALTH GROUP,457,12,2,0,0,0,0.00,100.0,0.0,0.0,3.0,3.1,2.2,3.2,3.5,3.1,0.7,55.7,66.7,0.8,11,0.9,225437.00,18786.42,0,0.0,22.6,14.4,1.3,2.5,45.3,83.8,83.1,1.91,1.87,22.6,5.1,3.8,2.7,0.6,20.3,22.2,96.4,95.1,0.0,24.5,4.7,24.9,18.9,10.9
GOLDEN SNF OPERATIONS,692,7,1,0,0,0,0.00,100.0,0.0,0.0,2.1,2.3,3.3,2.3,4.0,3.7,0.5,48.9,50.7,1.6,40,5.7,831532.00,118790.29,5,0.7,24.4,18.5,0.9,2.4,45.5,87.4,84.7,2.03,3.19,8.9,2.5,6.3,1.2,1.5,28.6,21.7,96.9,94.9,0.0,23.3,7.9,1.5,17.4,11.1
"WELLTOWER, INC.",560,2,2,0,0,0,0.00,100.0,0.0,0.0,3.5,3.0,4.0,3.5,4.3,4.0,0.9,58.3,49.2,0.0,1,0.5,12649.00,6324.50,0,0.0,33.7,11.5,1.0,0.3,62.0,78.8,89.9,1.96,1.32,23.5,7.9,7.8,1.8,4.9,14.3,14.0,100.0,100.0,0.0,22.4,4.2,0.0,19.4,10.4
INGLESIDE ENGAGED LIVING,284,3,3,0,0,0,0.00,0.0,100.0,0.0,5.0,3.7,5.0,4.7,5.4,4.9,1.3,36.5,41.9,0.5,2,0.7,39419.00,13139.67,0,0.0,19.4,4.7,2.2,1.5,64.4,83.3,71.2,1.20,1.24,8.5,2.7,6.5,1.4,0.4,35.9,29.7,97.6,87.8,0.0,27.0,3.2,0.0,19.2,10.8
MAPLE SPRINGS LIVING,333,3,2,0,0,0,0.00,100.0,0.0,0.0,3.0,2.3,4.7,3.3,5.4,4.8,1.5,41.8,37.3,0.0,5,1.7,96596.00,32198.67,2,0.7,18.8,11.7,2.8,4.2,47.5,92.9,90.7,1.23,1.54,10.7,1.5,12.6,5.6,3.9,26.7,11.3,100.0,98.1,0.0,33.7,6.8,8.7,12.2,9.4
LIFE CARE CENTERS OF AMERICA,311,194,26,0,3,11,5.67,95.4,0.5,4.1,3.5,2.9,3.3,4.4,3.8,3.3,0.7,42.3,40.4,0.5,127,0.7,4592981.00,23675.16,13,0.1,23.1,11.3,1.1,2.4,72.4,81.3,85.7,1.71,1.64,12.2,2.9,4.9,0.9,0.5,13.8,9.8,95.0,95.2,0.1,22.8,5.9,6.0,19.7,10.6
CARADAY HEALTHCARE,103,15,1,0,1,5,33.33,80.0,0.0,20.0,2.6,2.5,2.2,3.6,3.1,2.8,0.4,53.5,50.3,0.7,36,2.4,1185284.00,79018.93,2,0.1,25.2,13.2,1.3,2.4,47.7,57.7,67.3,2.35,1.85,8.1,3.9,3.6,0.5,0.4,17.4,18.0,94.6,91.7,0.0,20.9,4.0,2.7,19.1,10.9
SENIOR HEALTH SOUTH,729,8,1,0,1,3,37.50,12.5,87.5,0.0,1.9,1.8,2.6,3.9,3.2,3.0,0.6,43.8,59.1,1.4,5,0.6,327618.00,40952.25,0,0.0,27.0,12.2,2.0,0.9,51.1,99.6,99.4,2.26,1.15,13.5,1.0,6.5,0.2,0.1,7.6,6.7,100.0,99.7,0.0,3.4,7.2,0.7,25.0,10.5
ACCURA HEALTHCARE,8,35,4,0,0,1,2.86,100.0,0.0,0.0,2.6,2.5,3.3,2.8,3.7,3.2,0.7,42.8,44.4,0.6,24,0.7,548725.00,15677.86,7,0.2,21.2,18.1,1.9,1.3,60.7,77.0,86.4,1.71,2.78,20.0,3.7,4.1,2.7,2.0,23.5,21.5,96.0,93.8,0.0,27.6,5.9,4.2,20.1,10.5
MISSION POINT HEALTHCARE SERVICES,356,22,2,1,3,7,31.82,100.0,0.0,0.0,2.5,2.1,2.8,4.1,3.6,3.1,0.7,43.5,39.8,0.5,49,2.2,2502418.00,113746.27,24,1.1,25.2,12.0,1.4,0.9,51.4,79.2,81.2,1.59,1.27,14.0,2.2,5.3,1.6,0.6,10.6,8.7,94.8,96.6,0.0,17.8,4.0,3.5,20.0,10.9
HEALTHCARE OF IOWA,260,8,1,0,0,1,12.50,50.0,50.0,0.0,3.4,3.3,3.8,3.4,3.5,3.0,0.8,47.6,37.3,0.4,3,0.4,77661.00,9707.63,1,0.1,25.6,14.0,1.0,4.7,57.0,90.7,91.8,1.31,2.07,9.6,4.9,8.4,2.0,1.8,12.4,14.1,97.5,96.4,0.0,24.9,4.6,2.3,12.1,10.7
VIERRA COMMUNITIES,597,2,2,0,0,0,0.00,100.0,0.0,0.0,3.0,3.0,4.0,4.0,3.8,3.3,0.8,31.1,28.9,0.0,0,0.0,0.00,0.00,0,0.0,22.8,8.2,0.8,4.0,52.2,66.1,62.9,2.09,0.98,15.7,0.9,11.4,1.4,0.2,29.1,30.9,88.2,86.5,0.0,28.7,7.4,9.1,15.2,10.5
PRINCIPLE LONG TERM CARE,423,44,3,0,0,5,11.36,100.0,0.0,0.0,2.8,2.7,2.8,3.5,3.5,3.1,0.6,48.8,42.8,1.1,47,1.1,1454485.00,33056.48,10,0.2,22.7,13.8,1.2,3.0,50.7,73.1,76.0,1.85,1.88,12.7,3.1,6.1,1.6,0.5,16.7,13.2,93.8,90.8,0.0,7.4,6.2,1.6,24.5,10.9
ATHENA HEALTHCARE SYSTEMS,52,28,3,0,2,4,14.29,100.0,0.0,0.0,1.7,1.8,2.9,2.5,3.3,2.9,0.5,32.2,37.9,0.7,49,1.8,2061496.00,73624.86,9,0.3,25.8,13.4,2.0,2.0,45.4,64.4,70.1,2.03,1.82,26.9,3.8,4.3,1.9,0.9,19.4,17.8,89.8,90.1,0.0,24.8,5.8,9.0,25.7,11.0
HAWAII HEALTH SYSTEMS CORPORATION,250,7,1,0,1,0,0.00,14.3,0.0,85.7,4.0,3.2,4.2,4.5,4.6,3.9,1.4,35.0,34.6,0.7,4,0.7,72253.00,12042.17,0,0.0,11.0,10.5,6.6,3.0,52.7,92.2,87.0,1.11,0.87,12.6,1.9,2.4,1.2,0.5,21.1,15.5,97.6,97.7,0.0,14.4,4.1,3.6,7.9,10.2
KR MANAGEMENT,667,5,1,0,0,1,20.00,100.0,0.0,0.0,4.2,3.2,2.8,5.0,4.0,3.5,0.7,50.7,46.0,0.8,3,0.6,224562.00,44912.40,0,0.0,24.5,8.2,0.8,1.0,52.0,97.7,99.9,2.00,0.93,4.9,2.6,2.4,0.9,0.6,12.6,9.0,100.0,100.0,0.0,9.5,5.5,6.8,17.6,10.5
SLP OPERATIONS,730,41,2,1,3,7,17.07,92.7,0.0,7.3,2.3,2.5,1.5,3.6,3.1,2.8,0.3,56.4,64.8,,71,1.7,2986911.00,72851.49,17,0.4,27.2,12.5,1.6,2.9,48.4,93.8,96.2,2.17,2.05,9.4,3.7,4.3,0.3,0.1,19.9,18.6,99.1,99.2,0.0,13.7,1.9,1.3,24.3,11.4
PROVIDENCE HEALTH & SERVICES,430,9,3,0,0,1,11.11,11.1,88.9,0.0,2.6,2.2,3.8,3.8,5.8,5.2,1.6,45.2,40.7,0.4,11,1.2,359710.00,39967.78,0,0.0,22.1,12.4,1.4,2.0,42.3,88.1,89.9,1.55,1.14,7.2,1.5,7.4,3.2,4.1,20.1,16.4,96.4,95.9,1.8,17.6,4.7,3.6,15.1,9.4
BEDROCK HEALTHCARE,73,10,4,1,2,3,30.00,100.0,0.0,0.0,1.2,1.2,1.5,3.2,3.1,2.8,0.5,63.1,63.1,1.8,28,2.8,1528853.00,152885.30,15,1.5,25.6,14.1,1.2,2.8,52.4,66.4,74.2,1.65,2.63,18.6,2.2,7.2,2.0,2.3,22.3,14.4,90.1,90.1,0.1,28.3,6.6,3.6,20.6,11.7
VANGUARD HEALTHCARE,543,6,1,0,1,1,16.67,100.0,0.0,0.0,3.3,3.5,3.3,2.3,3.8,3.0,0.6,37.8,32.1,0.8,5,0.8,131678.00,21946.33,1,0.2,28.6,14.3,1.4,5.6,53.0,77.9,83.7,2.35,2.66,12.8,2.4,7.9,0.6,0.9,17.1,16.1,94.4,97.3,0.0,14.0,4.4,1.1,22.9,10.4
OAKBEND MEDICAL CENTER,579,6,1,0,0,0,0.00,33.3,16.7,50.0,2.8,2.7,2.5,3.8,4.4,4.3,0.8,57.5,41.0,0.3,11,1.8,584096.00,97349.33,2,0.3,21.8,12.9,2.6,2.5,47.8,82.0,72.4,2.21,2.05,5.8,2.2,11.7,1.2,1.0,10.2,11.3,96.5,94.0,0.4,11.2,4.2,0.3,18.1,11.2
INTEGRITUS HEALTHCARE,603,15,1,0,0,0,0.00,0.0,100.0,0.0,2.7,2.9,2.3,2.6,3.8,3.3,0.6,54.6,52.8,0.6,17,1.1,671891.00,44792.73,0,0.0,24.8,12.5,1.6,2.4,47.2,86.3,89.8,1.61,1.53,16.2,3.6,3.9,2.3,1.0,25.6,24.1,93.7,97.8,0.0,26.7,5.6,19.3,18.3,11.2
RESIDENTIAL ALTERNATIVES OF ILLINOIS,450,7,2,0,0,0,0.00,14.3,85.7,0.0,3.0,3.1,3.3,2.7,4.0,3.5,0.8,41.4,37.6,0.1,7,1.0,322018.00,46002.57,0,0.0,27.0,19.0,0.8,4.2,62.1,77.1,83.6,1.49,2.80,13.8,6.2,5.3,2.9,0.9,31.6,26.1,94.6,89.8,0.0,24.5,5.0,7.3,17.5,11.2
VETTER SENIOR LIVING,547,22,2,0,1,0,0.00,4.5,95.5,0.0,4.3,3.8,4.4,3.8,4.2,3.6,0.7,34.4,29.0,0.1,1,0.0,21565.00,980.23,0,0.0,19.8,9.4,1.0,2.6,43.9,93.2,94.5,1.42,1.53,11.7,3.5,4.0,1.8,0.8,21.4,19.2,99.3,97.9,0.0,27.6,4.1,1.5,16.9,9.4
EDEN SENIOR CARE,192,17,2,0,0,0,0.00,100.0,0.0,0.0,2.4,2.4,3.1,3.3,3.8,3.3,1.0,52.5,48.7,0.4,19,1.1,631069.00,37121.71,1,0.1,21.4,17.3,1.0,3.4,56.8,83.3,80.3,1.34,1.83,15.5,2.7,5.7,3.0,1.1,18.9,11.6,96.1,95.1,0.0,28.2,4.0,9.1,18.0,10.3
SAPPHIRE HEALTH SERVICES,643,8,1,0,1,4,50.00,100.0,0.0,0.0,1.6,1.8,3.1,2.4,5.5,5.1,0.7,97.5,80.0,1.0,11,1.4,383750.00,47968.75,0,0.0,29.5,15.9,1.8,3.3,60.5,80.6,82.4,1.63,2.73,15.1,3.1,8.4,1.6,1.0,29.6,19.3,96.4,96.4,0.3,20.4,4.1,3.6,13.4,10.0
SOL HEALTHCARE,817,5,1,0,0,2,40.00,100.0,0.0,0.0,1.8,1.8,2.8,3.2,4.3,3.9,0.7,48.4,61.2,0.6,7,1.4,102000.00,20400.00,1,0.2,22.5,17.9,1.4,4.1,53.4,94.7,96.3,1.80,2.64,6.8,1.3,7.2,0.8,0.5,14.9,12.1,97.7,99.2,0.0,13.2,4.5,7.9,10.4,10.7
"HEALTH CARE FACILITY MANAGEMENT, LLC",814,5,2,0,0,0,0.00,100.0,0.0,0.0,3.2,2.6,2.0,5.0,3.4,3.1,0.6,44.6,55.6,0.0,3,0.6,116526.00,23305.20,2,0.4,24.3,8.8,1.1,1.2,50.8,65.0,60.4,1.33,1.55,8.2,4.2,5.1,0.1,0.1,5.9,3.6,90.0,92.5,0.0,25.2,3.6,46.6,19.9,11.7
PRESTIGE CARE CENTER,602,4,3,0,0,0,0.00,100.0,0.0,0.0,2.3,2.3,2.3,2.5,3.3,3.1,0.5,52.1,40.0,0.5,8,2.0,205484.00,51371.00,4,1.0,23.1,14.8,2.2,3.4,42.5,64.4,63.9,1.66,2.49,23.8,2.0,3.2,1.4,1.0,22.9,18.8,91.8,90.4,0.0,28.1,6.8,3.7,23.5,10.2
ARCADIA CARE,42,21,2,2,3,10,47.62,90.5,9.5,0.0,1.8,1.9,1.2,3.1,2.9,2.7,0.4,50.8,52.4,1.2,53,2.5,3358388.00,159923.24,29,1.4,21.1,17.5,1.4,2.6,37.6,59.9,61.1,1.70,3.38,16.4,3.0,3.4,1.1,0.9,22.1,18.0,91.7,82.3,0.1,23.5,10.1,68.7,19.2,10.8
AVAMERE,58,33,2,0,1,2,6.06,100.0,0.0,0.0,2.8,2.5,3.7,3.8,4.8,4.2,0.7,41.4,43.5,1.0,37,1.1,1491994.00,45211.94,5,0.2,21.4,15.3,1.3,2.2,54.7,85.9,90.7,1.41,1.90,13.9,2.6,6.6,1.4,1.2,22.9,15.1,96.4,96.7,0.0,20.9,5.5,13.5,11.5,9.7
LME FAMILY HOLDINGS,321,15,4,0,2,1,6.67,100.0,0.0,0.0,2.3,2.1,2.9,3.2,3.4,3.1,0.6,56.0,50.1,0.5,30,2.0,785293.00,52352.87,0,0.0,23.5,11.9,1.2,2.4,46.5,58.8,57.7,2.32,1.48,15.8,2.4,5.7,1.5,1.1,16.7,16.2,93.2,81.5,0.1,26.6,8.7,5.0,23.1,10.4
SHIMON LEFKOWITZ,795,5,3,0,1,0,0.00,100.0,0.0,0.0,2.8,3.0,2.4,2.4,3.6,3.3,0.7,41.4,49.9,0.2,5,1.0,271800.00,54360.00,0,0.0,24.6,12.0,1.9,2.7,50.9,79.9,70.8,1.66,1.91,17.8,2.2,8.5,3.4,1.7,30.3,26.3,91.8,87.0,1.1,18.5,8.6,33.1,14.9,10.6
ENCORE HEALTH PARTNERS,697,12,1,0,0,1,8.33,100.0,0.0,0.0,2.3,2.4,1.8,2.8,3.6,3.2,0.6,46.0,51.9,0.5,21,1.8,196890.00,16407.50,2,0.2,20.7,12.5,1.7,5.6,42.2,85.7,88.0,1.95,1.50,15.3,3.3,5.9,2.0,0.9,23.7,18.5,98.0,97.0,0.0,23.1,7.7,30.2,25.0,10.8
AOM HEALTHCARE,37,20,1,1,1,2,10.00,100.0,0.0,0.0,2.6,2.1,1.9,4.4,3.3,2.9,0.5,60.2,65.5,1.2,17,0.9,746363.00,37318.15,8,0.4,20.4,14.6,0.5,3.5,52.9,79.8,86.2,1.60,1.98,7.0,2.8,3.6,0.3,0.1,6.6,4.5,96.0,94.8,0.0,16.0,5.2,23.4,30.9,11.2
PARAMOUNT CARE CENTERS,774,11,2,0,1,1,9.09,100.0,0.0,0.0,3.1,2.5,3.2,4.5,3.5,3.1,0.5,42.0,32.9,0.5,13,1.2,641989.00,58362.64,0,0.0,27.4,7.5,0.8,1.5,58.2,84.7,77.0,2.08,1.18,14.2,1.6,4.6,0.5,0.2,12.5,12.6,98.8,91.1,0.0,17.3,4.4,12.3,16.0,11.1
MONARCH HEALTHCARE MANAGEMENT,361,45,1,0,3,4,8.89,95.6,4.4,0.0,2.3,2.2,3.4,3.0,3.5,3.1,0.9,50.0,52.2,1.0,93,2.1,1236663.00,27481.40,4,0.1,23.6,15.4,2.1,2.3,53.4,77.5,87.2,1.60,2.04,19.3,3.0,7.1,2.1,1.8,20.4,14.8,96.4,96.3,0.0,23.5,5.1,5.1,12.6,10.2
"SUMMITT CARE II, INC.",497,9,1,0,0,1,11.11,100.0,0.0,0.0,3.4,2.7,2.8,4.6,3.8,3.5,0.6,42.8,54.4,0.8,12,1.3,74323.00,8258.11,0,0.0,27.7,9.7,1.1,1.7,64.2,97.2,97.4,1.83,1.29,4.4,2.6,5.1,0.1,0.3,10.1,5.3,100.0,99.9,0.0,8.2,8.3,1.1,13.2,11.1
FUNDAMENTAL HEALTHCARE,231,69,7,1,5,10,14.49,91.3,0.0,8.7,2.4,2.3,2.2,3.3,3.3,3.0,0.5,46.5,43.9,0.5,118,1.7,3399030.00,49261.30,6,0.1,23.7,11.4,1.4,3.0,47.3,72.1,67.6,2.12,1.82,12.9,2.6,6.6,1.0,0.5,19.7,16.0,93.5,85.4,0.0,14.1,4.9,5.6,20.4,11.8
GULF COAST LTC PARTNERS,243,19,1,0,0,1,5.26,78.9,0.0,21.1,2.2,2.7,2.1,2.6,3.2,2.9,0.4,49.7,60.1,0.8,42,2.2,1194758.00,62882.00,4,0.2,28.4,16.2,3.5,3.8,58.0,90.9,94.9,2.16,2.66,16.9,3.4,4.3,3.1,0.2,20.8,22.9,99.3,99.6,0.0,17.2,5.6,1.6,20.0,11.1
HILL VALLEY HEALTHCARE,270,45,7,0,4,5,11.11,93.3,6.7,0.0,2.2,2.0,1.9,3.8,3.3,2.9,0.5,53.2,52.7,0.9,58,1.3,2269002.00,50422.27,7,0.2,21.8,12.3,1.1,3.3,51.4,61.1,67.4,1.65,1.70,12.9,3.7,5.2,0.8,0.3,13.4,10.9,91.9,87.2,0.0,23.7,8.0,18.7,19.5,10.9
SPRENGER HEALTH CARE SYSTEMS,484,12,2,0,0,0,0.00,100.0,0.0,0.0,3.5,3.2,2.8,4.3,3.6,3.1,0.7,51.4,48.3,0.4,4,0.3,97163.00,8096.92,0,0.0,27.9,14.9,0.8,1.0,46.6,86.4,89.7,1.32,1.58,4.0,3.2,3.5,0.3,0.0,5.4,3.5,96.6,95.7,0.0,26.4,6.8,5.0,30.3,10.6
EXCEPTIONAL LIVING CENTERS,758,10,3,0,0,0,0.00,70.0,20.0,10.0,3.2,2.8,2.3,4.2,3.7,3.2,0.6,52.4,55.9,0.9,5,0.5,69225.00,6922.50,1,0.1,22.1,11.5,1.2,4.3,55.4,66.3,74.0,1.78,2.13,7.8,4.0,3.7,1.0,0.4,13.9,10.5,88.7,91.3,0.0,26.3,6.4,6.6,29.1,11.1
RYDERS HEALTH MANAGEMENT,458,8,1,0,1,2,25.00,100.0,0.0,0.0,2.0,2.1,3.3,2.0,4.2,3.9,0.8,45.2,47.2,0.6,6,0.8,169644.00,21205.50,0,0.0,29.1,12.0,1.7,2.1,45.8,48.8,45.4,3.04,1.93,16.5,3.8,5.2,3.7,0.9,31.4,28.1,89.7,71.0,0.0,27.6,6.2,1.9,19.2,10.7
